Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,UNROLL_OUTER_LOOP,UNROLL_INNER_LOOP,CHUNK_FACTOR,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
BFS_kernel_warp,64512,125291,349,349,1,1,8,1024,0,0,0,20
BFS_kernel_warp,70656,250026,42,42,0,0,4,1024,0,0,0,20
BFS_kernel_warp,53248,500226,789,789,1,1,2,1024,0,0,0,20
BFS_kernel_warp,56320,250320,420,420,0,0,4,1024,0,0,0,20
BFS_kernel_warp,53248,1000054,347,347,1,1,1,1024,0,0,0,20
BFS_kernel_warp,61440,1000153,419,419,1,1,1,1024,0,0,0,20
BFS_kernel_warp,57344,1000605,615,615,0,1,1,1024,0,0,0,20
BFS_kernel_warp,153600,125004,11,11,1,0,8,1024,0,0,0,20
BFS_kernel_warp,56320,250408,452,452,1,1,4,1024,0,0,0,20
BFS_kernel_warp,69632,500060,220,220,1,1,2,1024,0,0,0,20
BFS_kernel_warp,58368,125400,550,550,1,0,8,1024,0,0,0,20
BFS_kernel_warp,57344,1000200,300,300,0,1,1,1024,0,0,0,20
BFS_kernel_warp,52224,250516,644,644,1,1,4,1024,0,0,0,20
BFS_kernel_warp,54272,125102,881,881,1,1,8,1024,0,0,0,20
BFS_kernel_warp,57344,125129,157,157,1,1,8,1024,0,0,0,20
BFS_kernel_warp,57344,500181,659,659,1,1,2,1024,0,0,0,20
BFS_kernel_warp,53248,1000362,506,506,1,1,1,1024,0,0,0,20
BFS_kernel_warp,58368,250047,147,147,1,1,4,1024,0,0,0,20
BFS_kernel_warp,69632,125000,100,100,1,1,8,1024,0,0,0,20
BFS_kernel_warp,57344,500004,684,684,1,1,2,1024,0,0,0,20
BFS_kernel_warp,59392,125404,586,586,1,1,8,1024,0,0,0,20
BFS_kernel_warp,57344,125136,158,158,1,1,8,1024,0,0,0,20
BFS_kernel_warp,54272,250498,499,499,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,1000181,203,203,1,1,1,1024,0,0,0,20
BFS_kernel_warp,54272,500226,951,951,1,1,2,1024,0,0,0,20
BFS_kernel_warp,58368,250182,339,339,1,0,4,1024,0,0,0,20
BFS_kernel_warp,54272,250572,628,628,0,1,4,1024,0,0,0,20
BFS_kernel_warp,56320,250808,856,856,1,0,4,1024,0,0,0,20
BFS_kernel_warp,57344,250145,1021,1021,1,0,4,1024,0,0,0,20
BFS_kernel_warp,57344,250038,58,58,1,1,4,1024,0,0,0,20
BFS_kernel_warp,61440,250240,736,736,0,1,4,1024,0,0,0,20
BFS_kernel_warp,57344,250047,343,343,1,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,1000233,927,927,1,1,1,1024,0,0,0,20
BFS_kernel_warp,141312,250008,12,12,1,1,4,1024,0,0,0,20
BFS_kernel_warp,74752,125460,765,765,1,1,8,1024,0,0,0,20
BFS_kernel_warp,54272,250068,273,273,1,1,4,1024,0,0,0,20
BFS_kernel_warp,52224,250101,157,157,0,1,4,1024,0,0,0,20
BFS_kernel_warp,58368,125328,336,336,0,1,8,1024,0,0,0,20
BFS_kernel_warp,77824,250002,38,38,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,500320,424,424,0,1,2,1024,0,0,0,20
BFS_kernel_warp,57344,250063,179,179,1,1,4,1024,0,0,0,20
BFS_kernel_warp,62464,125171,199,199,0,1,8,1024,0,0,0,20
BFS_kernel_warp,59392,125856,912,912,0,1,8,1024,0,0,0,20
BFS_kernel_warp,54272,500185,461,461,0,1,2,1024,0,0,0,20
BFS_kernel_warp,51200,1000008,342,342,0,1,1,1024,0,0,0,20
BFS_kernel_warp,55296,1000384,784,784,1,1,1,1024,0,0,0,20
BFS_kernel_warp,63488,1000442,734,734,0,0,1,1024,0,0,0,20
BFS_kernel_warp,68608,1000000,50,50,1,1,1,1024,0,0,0,20
BFS_kernel_warp,56320,500158,262,262,0,1,2,1024,0,0,0,20
BFS_kernel_warp,54272,250112,128,128,0,1,4,1024,0,0,0,20
BFS_kernel_warp,58368,250096,308,308,1,1,4,1024,0,0,0,20
BFS_kernel_warp,50176,250110,794,794,0,1,4,1024,0,0,0,20
BFS_kernel_warp,59392,250723,991,991,0,1,4,1024,0,0,0,20
BFS_kernel_warp,60416,250030,55,55,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,250019,191,191,0,0,4,1024,0,0,0,20
BFS_kernel_warp,56320,250104,408,408,0,1,4,1024,0,0,0,20
BFS_kernel_warp,62464,250046,218,218,0,0,4,1024,0,0,0,20
BFS_kernel_warp,57344,500640,840,840,0,1,2,1024,0,0,0,20
BFS_kernel_warp,56320,250173,361,361,0,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,250264,287,287,0,0,4,1024,0,0,0,20
BFS_kernel_warp,62464,250390,730,730,0,1,4,1024,0,0,0,20
BFS_kernel_warp,61440,250194,966,966,1,1,4,1024,0,0,0,20
BFS_kernel_warp,57344,125200,313,313,0,1,8,1024,0,0,0,20
BFS_kernel_warp,53248,250581,827,827,1,1,4,1024,0,0,0,20
BFS_kernel_warp,56320,250125,435,435,0,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,250056,184,184,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,500016,528,528,0,1,2,1024,0,0,0,20
BFS_kernel_warp,62464,250100,164,164,1,1,4,1024,0,0,0,20
BFS_kernel_warp,57344,500610,615,615,0,1,2,1024,0,0,0,20
BFS_kernel_warp,81920,250020,36,36,0,1,4,1024,0,0,0,20
BFS_kernel_warp,59392,1000233,747,747,0,1,1,1024,0,0,0,20
BFS_kernel_warp,63488,250054,742,742,0,0,4,1024,0,0,0,20
BFS_kernel_warp,60416,250240,340,340,0,0,4,1024,0,0,0,20
BFS_kernel_warp,54272,500045,637,637,0,1,2,1024,0,0,0,20
BFS_kernel_warp,60416,250173,209,209,1,1,4,1024,0,0,0,20
BFS_kernel_warp,87040,500016,22,22,0,1,2,1024,0,0,0,20
BFS_kernel_warp,53248,500088,268,268,0,1,2,1024,0,0,0,20
BFS_kernel_warp,54272,250584,788,788,0,1,4,1024,0,0,0,20
BFS_kernel_warp,52224,250087,313,313,0,1,4,1024,0,0,0,20
BFS_kernel_warp,59392,500080,133,133,0,1,2,1024,0,0,0,20
BFS_kernel_warp,67584,125440,490,490,0,1,8,1024,0,0,0,20
BFS_kernel_warp,62464,250047,343,343,0,0,4,1024,0,0,0,20
BFS_kernel_warp,56320,500000,200,200,0,1,2,1024,0,0,0,20
BFS_kernel_warp,63488,125184,652,652,0,1,8,1024,0,0,0,20
BFS_kernel_warp,61440,250236,331,331,1,1,4,1024,0,0,0,20
BFS_kernel_warp,60416,250902,954,954,1,1,4,1024,0,0,0,20
BFS_kernel_warp,118784,250005,15,15,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,500347,509,509,0,1,2,1024,0,0,0,20
BFS_kernel_warp,60416,250320,336,336,0,1,4,1024,0,0,0,20
BFS_kernel_warp,64512,125860,899,899,0,1,8,1024,0,0,0,20
BFS_kernel_warp,59392,500284,362,362,0,1,2,1024,0,0,0,20
BFS_kernel_warp,57344,250356,372,372,0,1,4,1024,0,0,0,20
BFS_kernel_warp,60416,250480,620,620,0,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,500055,629,629,0,1,2,1024,0,0,0,20
BFS_kernel_warp,59392,250107,583,583,1,1,4,1024,0,0,0,20
BFS_kernel_warp,50176,1000486,502,502,0,1,1,1024,0,0,0,20
BFS_kernel_warp,54272,250182,369,369,0,1,4,1024,0,0,0,20
BFS_kernel_warp,59392,125240,248,248,0,1,8,1024,0,0,0,20
BFS_kernel_warp,71680,125324,388,388,0,1,8,1024,0,0,0,20
BFS_kernel_warp,52224,500479,497,497,0,1,2,1024,0,0,0,20
BFS_kernel_warp,56320,125356,847,847,0,1,8,1024,0,0,0,20
BFS_kernel_warp,53248,500580,810,810,0,1,2,1024,0,0,0,20
BFS_kernel_warp,60416,125280,348,348,0,1,8,1024,0,0,0,20
BFS_kernel_warp,56320,500412,561,561,0,1,2,1024,0,0,0,20
BFS_kernel_warp,67584,250016,32,32,0,1,4,1024,0,0,0,20
BFS_kernel_warp,72704,1000020,30,30,0,0,1,1024,0,0,0,20
BFS_kernel_warp,56320,1000384,392,392,0,0,1,1024,0,0,0,20
BFS_kernel_warp,54272,250110,630,630,0,1,4,1024,0,0,0,20
BFS_kernel_warp,55296,125268,803,803,0,1,8,1024,0,0,0,20
BFS_kernel_warp,63488,1000050,75,75,0,1,1,1024,0,0,0,20
BFS_kernel_warp,53248,500020,230,230,0,1,2,1024,0,0,0,20
BFS_kernel_warp,54272,1000236,492,492,0,0,1,1024,0,0,0,20
BFS_kernel_warp,57344,250100,205,205,0,1,4,1024,0,0,0,20
BFS_kernel_warp,56320,1000080,432,432,0,1,1,1024,0,0,0,20
BFS_kernel_warp,55296,1000064,208,208,0,1,1,1024,0,0,0,20
BFS_kernel_warp,55296,1000160,235,235,0,1,1,1024,0,0,0,20
BFS_kernel_warp,100352,1000008,19,19,0,1,1,1024,0,0,0,20
BFS_kernel_warp,60416,1000188,378,378,1,1,1,1024,0,0,0,20
BFS_kernel_warp,54272,1000062,63,63,0,0,1,1024,0,0,0,20
BFS_kernel_warp,53248,1000454,598,598,0,1,1,1024,0,0,0,20
BFS_kernel_warp,57344,125852,862,862,0,1,8,1024,0,0,0,20
BFS_kernel_warp,59392,250884,909,909,0,1,4,1024,0,0,0,20
BFS_kernel_warp,65536,125240,310,310,0,1,8,1024,0,0,0,20
BFS_kernel_warp,57344,500526,713,713,0,1,2,1024,0,0,0,20
BFS_kernel_warp,52224,1000776,966,966,0,0,1,1024,0,0,0,20
BFS_kernel_warp,68608,250056,69,69,0,1,4,1024,0,0,0,20
BFS_kernel_warp,65536,125159,487,487,0,1,8,1024,0,0,0,20
BFS_kernel_warp,56320,250272,869,869,0,1,4,1024,0,0,0,20
BFS_kernel_warp,61440,125000,250,250,0,1,8,1024,0,0,0,20
BFS_kernel_warp,126976,1000006,14,14,1,1,1,1024,0,0,0,20
BFS_kernel_warp,52224,500136,156,156,0,1,2,1024,0,0,0,20
BFS_kernel_warp,53248,1000224,368,368,1,1,1,1024,0,0,0,20
BFS_kernel_warp,57344,250236,378,378,0,1,4,1024,0,0,0,20
BFS_kernel_warp,58368,1000168,767,767,1,1,1,1024,0,0,0,20
BFS_kernel_warp,68608,125250,501,501,0,1,8,1024,0,0,0,20
BFS_kernel_warp,58368,500822,862,862,0,1,2,1024,0,0,0,20
BFS_kernel_warp,56320,500047,401,401,0,1,2,1024,0,0,0,20
BFS_kernel_warp,52224,1000294,443,443,0,0,1,1024,0,0,0,20
BFS_kernel_warp,59392,250116,228,228,0,1,4,1024,0,0,0,20
BFS_kernel_warp,54272,1000120,440,440,0,0,1,1024,0,0,0,20
BFS_kernel_warp,56320,1000125,375,375,1,0,1,1024,0,0,0,20
BFS_kernel_warp,106496,1000008,18,18,0,0,1,1024,0,0,0,20
BFS_kernel_warp,64512,125496,504,504,0,0,8,1024,0,0,0,20
BFS_kernel_warp,56320,1000400,410,410,0,0,1,1024,0,0,0,20
BFS_kernel_warp,57344,1000518,578,578,1,0,1,1024,0,0,0,20
BFS_kernel_warp,60416,250128,579,579,0,0,4,1024,0,0,0,20
BFS_kernel_warp,57344,125215,395,395,0,0,8,1024,0,0,0,20
BFS_kernel_warp,66560,125060,370,370,0,0,8,1024,0,0,0,20
BFS_kernel_warp,55296,1000160,560,560,0,0,1,1024,0,0,0,20
BFS_kernel_warp,53248,500181,659,659,0,0,2,1024,0,0,0,20
BFS_kernel_warp,81920,500020,23,23,0,0,2,1024,0,0,0,20
BFS_kernel_warp,58368,1000224,736,736,0,0,1,1024,0,0,0,20
BFS_kernel_warp,61440,125160,420,420,0,0,8,1024,0,0,0,20
BFS_kernel_warp,56320,250120,370,370,0,0,4,1024,0,0,0,20
BFS_kernel_warp,53248,500240,592,592,1,0,2,1024,0,0,0,20
BFS_kernel_warp,60416,250490,677,677,1,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,500168,206,206,1,0,2,1024,0,0,0,20
BFS_kernel_warp,72704,125125,715,715,1,0,8,1024,0,0,0,20
BFS_kernel_warp,55296,250416,846,846,1,0,4,1024,0,0,0,20
BFS_kernel_warp,56320,1000008,342,342,1,0,1,1024,0,0,0,20
BFS_kernel_warp,54272,500108,371,371,1,0,2,1024,0,0,0,20
BFS_kernel_warp,58368,1000010,110,110,1,0,1,1024,0,0,0,20
BFS_kernel_warp,66560,125184,384,384,1,0,8,1024,0,0,0,20
BFS_kernel_warp,53248,1000311,507,507,1,0,1,1024,0,0,0,20
BFS_kernel_warp,53248,1000840,955,955,1,0,1,1024,0,0,0,20
BFS_kernel_warp,57344,250380,428,428,1,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,250002,646,646,1,0,4,1024,0,0,0,20
BFS_kernel_warp,52224,500656,664,664,1,0,2,1024,0,0,0,20
BFS_kernel_warp,60416,250776,972,972,1,0,4,1024,0,0,0,20
BFS_kernel_warp,55296,500075,415,415,0,0,2,1024,0,0,0,20
BFS_kernel_warp,54272,500075,415,415,1,0,2,1024,0,0,0,20
BFS_kernel_warp,52224,500080,95,95,1,1,2,1024,0,0,0,20
BFS_kernel_warp,57344,500420,764,764,1,0,2,1024,0,0,0,20
BFS_kernel_warp,60416,250743,1007,1007,1,1,4,1024,0,0,0,20
BFS_kernel_warp,52224,500193,447,447,1,1,2,1024,0,0,0,20
BFS_kernel_warp,67584,250236,756,756,1,1,4,1024,0,0,0,20
BFS_kernel_warp,58368,250411,581,581,1,1,4,1024,0,0,0,20
