Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,TEXTURE_MEMORY,WORK_PER_THREAD,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
md_helper,2412672,73728,1,1,32,0,1,1024,0,0,0,30
md_helper,2338688,36864,1,1,32,0,2,1024,0,0,0,32
md_helper,2422912,24576,1,1,32,0,3,1024,0,0,0,32
md_helper,2742528,18432,1,1,32,0,4,1024,0,0,0,32
md_helper,2852960,14746,1,1,32,0,5,1024,0,0,0,32
md_helper,2672288,73728,1,1,64,0,1,1024,0,0,0,40
md_helper,2671552,36864,1,1,64,0,2,1024,0,0,0,40
md_helper,2893856,24576,1,1,64,0,3,1024,0,0,0,40
md_helper,3218496,18432,1,1,64,0,4,1024,0,0,0,40
md_helper,3245248,14746,1,1,64,0,5,1024,0,0,0,40
md_helper,1437792,73728,2,2,32,0,1,1024,0,0,0,30
md_helper,1532800,36864,2,2,32,0,2,1024,0,0,0,32
md_helper,1591040,24576,2,2,32,0,3,1024,0,0,0,32
md_helper,1730976,18432,2,2,32,0,4,1024,0,0,0,32
md_helper,1743904,14746,2,2,32,0,5,1024,0,0,0,32
md_helper,1573344,73728,2,2,64,0,1,1024,0,0,0,40
md_helper,1733504,36864,2,2,64,0,2,1024,0,0,0,40
md_helper,1768160,24576,2,2,64,0,3,1024,0,0,0,40
md_helper,1942176,18432,2,2,64,0,4,1024,0,0,0,40
md_helper,1940064,14746,2,2,64,0,5,1024,0,0,0,40
md_helper,1042016,73728,3,3,32,0,1,1024,0,0,0,30
md_helper,1087488,36864,3,3,32,0,2,1024,0,0,0,32
md_helper,1257344,24576,3,3,32,0,3,1024,0,0,0,32
md_helper,1324832,18432,3,3,32,0,4,1024,0,0,0,32
md_helper,1247392,14748,3,3,32,0,5,1024,0,0,0,32
md_helper,1145696,73728,3,3,64,0,1,1024,0,0,0,40
md_helper,1213824,36864,3,3,64,0,2,1024,0,0,0,40
md_helper,1436256,24576,3,3,64,0,3,1024,0,0,0,40
md_helper,1468352,18432,3,3,64,0,4,1024,0,0,0,40
md_helper,1405248,14748,3,3,64,0,5,1024,0,0,0,40
md_helper,846400,73728,4,4,32,0,1,1024,0,0,0,30
md_helper,895136,36864,4,4,32,0,2,1024,0,0,0,32
md_helper,997888,24576,4,4,32,0,3,1024,0,0,0,32
md_helper,1034592,18432,4,4,32,0,4,1024,0,0,0,32
md_helper,1224320,14748,4,4,32,0,5,1024,0,0,0,32
md_helper,917824,73728,4,4,64,0,1,1024,0,0,0,40
md_helper,1007904,36864,4,4,64,0,2,1024,0,0,0,40
md_helper,1115040,24576,4,4,64,0,3,1024,0,0,0,40
md_helper,1162624,18432,4,4,64,0,4,1024,0,0,0,40
md_helper,1343232,14748,4,4,64,0,5,1024,0,0,0,40
md_helper,674880,73730,5,5,32,0,1,1024,0,0,0,30
md_helper,724512,36865,5,5,32,0,2,1024,0,0,0,32
md_helper,758656,24580,5,5,32,0,3,1024,0,0,0,32
md_helper,995840,18435,5,5,32,0,4,1024,0,0,0,32
md_helper,1073376,14750,5,5,32,0,5,1024,0,0,0,32
md_helper,741280,73730,5,5,64,0,1,1024,0,0,0,40
md_helper,809952,36865,5,5,64,0,2,1024,0,0,0,40
md_helper,849984,24580,5,5,64,0,3,1024,0,0,0,40
md_helper,1110880,18435,5,5,64,0,4,1024,0,0,0,40
md_helper,1200288,14750,5,5,64,0,5,1024,0,0,0,40
md_helper,573792,73728,6,6,32,0,1,1024,0,0,0,30
md_helper,677312,36864,6,6,32,0,2,1024,0,0,0,32
md_helper,760960,24576,6,6,32,0,3,1024,0,0,0,32
md_helper,883680,18432,6,6,32,0,4,1024,0,0,0,32
md_helper,691456,14748,6,6,32,0,5,1024,0,0,0,32
md_helper,640480,73728,6,6,64,0,1,1024,0,0,0,40
md_helper,761792,36864,6,6,64,0,2,1024,0,0,0,40
md_helper,831808,24576,6,6,64,0,3,1024,0,0,0,40
md_helper,976448,18432,6,6,64,0,4,1024,0,0,0,40
md_helper,780480,14748,6,6,64,0,5,1024,0,0,0,40
md_helper,560000,73731,7,7,32,0,1,1024,0,0,0,30
md_helper,651456,36869,7,7,32,0,2,1024,0,0,0,32
md_helper,735008,24577,7,7,32,0,3,1024,0,0,0,32
md_helper,806656,18438,7,7,32,0,4,1024,0,0,0,32
md_helper,675072,14749,7,7,32,0,5,1024,0,0,0,32
md_helper,615360,73731,7,7,64,0,1,1024,0,0,0,40
md_helper,725408,36869,7,7,64,0,2,1024,0,0,0,40
md_helper,797184,24577,7,7,64,0,3,1024,0,0,0,40
md_helper,892352,18438,7,7,64,0,4,1024,0,0,0,40
md_helper,750432,14749,7,7,64,0,5,1024,0,0,0,40
md_helper,472864,73728,8,8,32,0,1,1024,0,0,0,30
md_helper,536288,36864,8,8,32,0,2,1024,0,0,0,32
md_helper,674272,24576,8,8,32,0,3,1024,0,0,0,32
md_helper,558944,18432,8,8,32,0,4,1024,0,0,0,32
md_helper,665024,14752,8,8,32,0,5,1024,0,0,0,32
md_helper,526304,73728,8,8,64,0,1,1024,0,0,0,40
md_helper,603744,36864,8,8,64,0,2,1024,0,0,0,40
md_helper,738336,24576,8,8,64,0,3,1024,0,0,0,40
md_helper,619584,18432,8,8,64,0,4,1024,0,0,0,40
md_helper,743424,14752,8,8,64,0,5,1024,0,0,0,40
md_helper,472224,73728,9,9,32,0,1,1024,0,0,0,30
md_helper,515263,36864,9,9,32,0,2,1024,0,0,0,32
md_helper,626080,24579,9,9,32,0,3,1024,0,0,0,32
