Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,215354730,1,1,1,1,1,1,16,1,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,199709990,1,1,1,1,1,1,16,1,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,138044855,1,1,1,1,1,1,16,1,32,1,0,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,137584481,1,1,1,1,1,1,16,1,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,118198198,1,1,1,1,1,1,16,1,64,0,0,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,118272445,1,1,1,1,1,1,16,1,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,108520405,1,1,1,1,1,1,16,1,64,1,0,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,108470381,1,1,1,1,1,1,16,1,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,99529877,1,1,1,1,1,1,16,2,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,99518943,1,1,1,1,1,1,16,2,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,68766873,1,1,1,1,1,1,16,2,32,1,0,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,68789024,1,1,1,1,1,1,16,2,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,58704223,1,1,1,1,1,1,16,2,64,0,0,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,58844927,1,1,1,1,1,1,16,2,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,54273999,1,1,1,1,1,1,16,2,64,1,0,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,54255455,1,1,1,1,1,1,16,2,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,50120569,1,1,1,1,1,1,16,4,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,50111551,1,1,1,1,1,1,16,4,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,34665197,1,1,1,1,1,1,16,4,32,1,0,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,34645365,1,1,1,1,1,1,16,4,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,29591221,1,1,1,1,1,1,16,4,64,0,0,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,29603261,1,1,1,1,1,1,16,4,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,27286583,1,1,1,1,1,1,16,4,64,1,0,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,27300741,1,1,1,1,1,1,16,4,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,25210199,1,1,1,1,1,1,16,8,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,27877297,1,1,1,1,1,1,16,8,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,19534120,1,1,1,1,1,1,16,8,32,1,0,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,19528773,1,1,1,1,1,1,16,8,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,16434290,1,1,1,1,1,1,16,8,64,0,0,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,16582421,1,1,1,1,1,1,16,8,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,15352285,1,1,1,1,1,1,16,8,64,1,0,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,15348796,1,1,1,1,1,1,16,8,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,14260407,1,1,1,1,1,1,16,16,32,0,0,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,14209885,1,1,1,1,1,1,16,16,32,0,1,1,1024,256,0,0,31,1024,512,0,0,12,1024,516,0,0,18
scan,9904329,1,1,1,1,1,1,16,16,32,1,0,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,9873624,1,1,1,1,1,1,16,16,32,1,1,1,1024,256,0,0,31,1024,512,0,0,10,1024,516,0,0,29
scan,8425649,1,1,1,1,1,1,16,16,64,0,0,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,8445224,1,1,1,1,1,1,16,16,64,0,1,1,1024,512,0,0,28,1024,1024,0,0,15,1024,1032,0,0,25
scan,7790307,1,1,1,1,1,1,16,16,64,1,0,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,7796321,1,1,1,1,1,1,16,16,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,86363509,1,1,1,1,1,1,64,1,32,0,0,1,1024,1024,0,0,31,1024,2048,0,0,13,1024,2052,0,0,18
scan,63974506,1,1,1,1,1,1,64,1,32,0,1,1,1024,1024,0,0,31,1024,2048,0,0,14,1024,2052,0,0,18
