Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,UNROLL_OUTER_LOOP,UNROLL_INNER_LOOP,CHUNK_FACTOR,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
BFS_kernel_warp,19923904,1000000,1,1,0,0,1,1024,0,0,0,16
BFS_kernel_warp,19485536,500000,1,1,0,0,2,1024,0,0,0,16
BFS_kernel_warp,19332736,250000,1,1,0,0,4,1024,0,0,0,16
BFS_kernel_warp,19275232,125000,1,1,0,0,8,1024,0,0,0,16
BFS_kernel_warp,19923360,1000000,1,1,0,1,1,1024,0,0,0,16
BFS_kernel_warp,19492064,500000,1,1,0,1,2,1024,0,0,0,16
BFS_kernel_warp,19333088,250000,1,1,0,1,4,1024,0,0,0,16
BFS_kernel_warp,19280352,125000,1,1,0,1,8,1024,0,0,0,16
BFS_kernel_warp,19918496,1000000,1,1,1,0,1,1024,0,0,0,16
BFS_kernel_warp,19494560,500000,1,1,1,0,2,1024,0,0,0,16
BFS_kernel_warp,19338784,250000,1,1,1,0,4,1024,0,0,0,16
BFS_kernel_warp,19285728,125000,1,1,1,0,8,1024,0,0,0,16
BFS_kernel_warp,19926560,1000000,1,1,1,1,1,1024,0,0,0,16
BFS_kernel_warp,19490336,500000,1,1,1,1,2,1024,0,0,0,16
BFS_kernel_warp,19339456,250000,1,1,1,1,4,1024,0,0,0,16
BFS_kernel_warp,19287104,125000,1,1,1,1,8,1024,0,0,0,16
BFS_kernel_warp,10114976,1000000,2,2,0,0,1,1024,0,0,0,16
BFS_kernel_warp,9880480,500000,2,2,0,0,2,1024,0,0,0,16
BFS_kernel_warp,9800352,250000,2,2,0,0,4,1024,0,0,0,16
BFS_kernel_warp,9774240,125000,2,2,0,0,8,1024,0,0,0,16
BFS_kernel_warp,10111520,1000000,2,2,0,1,1,1024,0,0,0,16
BFS_kernel_warp,9877728,500000,2,2,0,1,2,1024,0,0,0,16
BFS_kernel_warp,9800672,250000,2,2,0,1,4,1024,0,0,0,16
BFS_kernel_warp,9777632,125000,2,2,0,1,8,1024,0,0,0,16
BFS_kernel_warp,10116128,1000000,2,2,1,0,1,1024,0,0,0,16
BFS_kernel_warp,9886496,500000,2,2,1,0,2,1024,0,0,0,16
BFS_kernel_warp,9800064,250000,2,2,1,0,4,1024,0,0,0,16
BFS_kernel_warp,9774656,125000,2,2,1,0,8,1024,0,0,0,16
BFS_kernel_warp,10111296,1000000,2,2,1,1,1,1024,0,0,0,16
BFS_kernel_warp,9875392,500000,2,2,1,1,2,1024,0,0,0,16
BFS_kernel_warp,9801728,250000,2,2,1,1,4,1024,0,0,0,16
BFS_kernel_warp,9771808,125000,2,2,1,1,8,1024,0,0,0,16
BFS_kernel_warp,6839456,1000002,3,3,0,0,1,1024,0,0,0,16
