Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,491865418,1,1,1,1,1,1,16,1,32,0,0,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,467958205,1,1,1,1,1,1,16,1,32,0,1,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,404820932,1,1,1,1,1,1,16,1,32,1,0,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,404828485,1,1,1,1,1,1,16,1,32,1,1,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,307358752,1,1,1,1,1,1,16,1,64,0,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,307365007,1,1,1,1,1,1,16,1,64,0,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,278354813,1,1,1,1,1,1,16,1,64,1,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,278403045,1,1,1,1,1,1,16,1,64,1,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,235664078,1,1,1,1,1,1,16,2,32,0,0,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,235666773,1,1,1,1,1,1,16,2,32,0,1,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,204071748,1,1,1,1,1,1,16,2,32,1,0,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,204074911,1,1,1,1,1,1,16,2,32,1,1,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,154790817,1,1,1,1,1,1,16,2,64,0,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,154781777,1,1,1,1,1,1,16,2,64,0,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,140355378,1,1,1,1,1,1,16,2,64,1,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,140364662,1,1,1,1,1,1,16,2,64,1,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,117913512,1,1,1,1,1,1,16,4,32,0,0,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,117914691,1,1,1,1,1,1,16,4,32,0,1,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,102120453,1,1,1,1,1,1,16,4,32,1,0,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,102116339,1,1,1,1,1,1,16,4,32,1,1,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,77560889,1,1,1,1,1,1,16,4,64,0,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,77514118,1,1,1,1,1,1,16,4,64,0,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,28
scan,70279882,1,1,1,1,1,1,16,4,64,1,0,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,70276839,1,1,1,1,1,1,16,4,64,1,1,1,1024,512,0,0,30,1024,1024,0,0,16,1024,1032,0,0,30
scan,59049029,1,1,1,1,1,1,16,8,32,0,0,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,59050455,1,1,1,1,1,1,16,8,32,0,1,1,1024,256,0,0,27,1024,512,0,0,11,1024,516,0,0,17
scan,51145186,1,1,1,1,1,1,16,8,32,1,0,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
scan,51143776,1,1,1,1,1,1,16,8,32,1,1,1,1024,256,0,0,27,1024,512,0,0,8,1024,516,0,0,26
