Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,Global size 3,Local size 3,Global size 4,Local size 4,LOOP_UNROLL_LSB,LOOP_UNROLL_LOCAL_MEMORY,LOOP_UNROLL_ADD_UNIFORM,SCAN_DATA_SIZE,SORT_DATA_SIZE,SCAN_BLOCK_SIZE,SORT_BLOCK_SIZE,INLINE_LSB,INLINE_SCAN,INLINE_LOCAL_MEMORY,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2,Maximum work-group size 3,Local memory size 3,Private memory size 3,Constant memory size 3,Registers count 3,Maximum work-group size 4,Local memory size 4,Private memory size 4,Constant memory size 4,Registers count 4
sort,649878476,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,32,32,0,1,0,1024,260,0,0,27,1024,320,0,0,15,1024,640,0,0,18,1024,4,0,0,8,1024,256,0,0,16
sort,205956350,1,1,1,1,1,1,1,1,1,1,0,1,0,8,4,32,64,0,1,0,1024,1028,0,0,36,1024,1088,0,0,32,1024,2176,0,0,32,1024,4,0,0,8,1024,1024,0,0,15
sort,136433687,1,1,1,1,1,1,1,1,1,1,0,0,1,8,4,64,128,1,0,0,1024,2052,0,0,38,1024,2112,0,0,32,1024,4224,0,0,32,1024,4,0,0,8,1024,2048,0,0,18
sort,186621930,1,1,1,1,1,1,1,1,1,1,0,1,0,2,8,128,32,0,0,1,1024,1028,0,0,48,1024,1088,0,0,15,1024,2176,0,0,18,1024,4,0,0,8,1024,1024,0,0,20
sort,104557663,1,1,1,1,1,1,1,1,1,1,0,1,1,8,4,512,1024,0,1,1,1024,16388,0,0,36,1024,16448,0,0,32,1024,32896,0,0,32,1024,4,0,0,8,1024,16384,0,0,16
sort,133124542,1,1,1,1,1,1,1,1,1,1,0,1,1,8,4,64,128,1,0,1,1024,2052,0,0,38,1024,2112,0,0,32,1024,4224,0,0,32,1024,4,0,0,8,1024,2048,0,0,18
sort,125760059,1,1,1,1,1,1,1,1,1,1,1,0,0,2,4,256,128,1,1,1,1024,2052,0,0,27,1024,2112,0,0,15,1024,4224,0,0,18,1024,4,0,0,8,1024,2048,0,0,18
sort,87352494,1,1,1,1,1,1,1,1,1,1,0,1,1,2,8,512,128,1,0,1,1024,4100,0,0,48,1024,4160,0,0,15,1024,8320,0,0,18,1024,4,0,0,8,1024,4096,0,0,20
sort,76544321,1,1,1,1,1,1,1,1,1,1,0,1,0,2,8,1024,256,0,0,1,1024,8196,0,0,48,1024,8256,0,0,15,1024,16512,0,0,18,1024,4,0,0,8,1024,8192,0,0,20
sort,194359102,1,1,1,1,1,1,1,1,1,1,1,0,0,2,4,128,64,1,0,0,1024,1028,0,0,35,1024,1088,0,0,15,1024,2176,0,0,18,1024,4,0,0,8,1024,1024,0,0,18
