Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,WORK_PER_THREAD,LOOP_UNROLL_TRIAD,PRECISION,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
triad_helper,52000,105336,627,627,10,1,64,1024,0,0,0,20
triad_helper,36960,59400,594,594,9,1,32,1024,0,0,0,16
triad_helper,45664,111480,929,929,10,0,64,1024,0,0,0,13
triad_helper,31583,105192,487,487,5,0,32,1024,0,0,0,12
triad_helper,41344,116848,218,218,9,1,64,1024,0,0,0,20
triad_helper,37312,56224,1004,1004,10,0,32,1024,0,0,0,12
triad_helper,40576,349656,51,51,3,1,64,1024,0,0,0,16
triad_helper,45600,152672,367,367,7,0,64,1024,0,0,0,13
triad_helper,44800,267712,712,712,4,0,64,1024,0,0,0,13
triad_helper,27648,175392,261,261,3,0,32,1024,0,0,0,12
triad_helper,37568,351232,784,784,3,1,64,1024,0,0,0,16
triad_helper,25024,175076,253,253,3,1,32,1024,0,0,0,15
triad_helper,32224,105800,529,529,5,1,32,1024,0,0,0,16
triad_helper,20160,262240,596,596,2,1,32,1024,0,0,0,9
triad_helper,37312,59592,573,573,9,1,32,1024,0,0,0,16
triad_helper,20256,527160,955,955,1,1,32,1024,0,0,0,8
triad_helper,21920,524308,139,139,1,1,32,1024,0,0,0,8
triad_helper,52960,55100,725,725,10,1,32,1024,0,0,0,17
triad_helper,25344,262592,746,746,2,0,32,1024,0,0,0,14
triad_helper,21312,524944,763,763,1,1,32,1024,0,0,0,8
triad_helper,28480,133496,814,814,4,1,32,1024,0,0,0,15
triad_helper,29248,131760,305,305,4,1,32,1024,0,0,0,15
triad_helper,28160,133128,774,774,4,1,32,1024,0,0,0,15
triad_helper,21216,262500,375,375,2,1,32,1024,0,0,0,9
triad_helper,25376,175824,297,297,3,1,32,1024,0,0,0,15
triad_helper,29568,524880,810,810,2,1,64,1024,0,0,0,11
triad_helper,33056,75640,310,310,7,1,32,1024,0,0,0,17
triad_helper,35648,66132,501,501,8,1,32,1024,0,0,0,17
triad_helper,25248,262624,283,283,2,0,32,1024,0,0,0,14
triad_helper,37536,66392,386,386,8,1,32,1024,0,0,0,17
triad_helper,20416,524400,276,276,1,1,32,1024,0,0,0,8
triad_helper,31456,75392,304,304,7,1,32,1024,0,0,0,17
triad_helper,32832,75600,180,180,7,1,32,1024,0,0,0,17
triad_helper,28960,106640,860,860,5,1,32,1024,0,0,0,16
triad_helper,28928,525096,429,429,2,1,64,1024,0,0,0,11
triad_helper,33408,66368,272,272,8,1,32,1024,0,0,0,17
triad_helper,35680,59808,534,534,9,1,32,1024,0,0,0,16
triad_helper,127776,524304,9,9,2,1,64,1024,0,0,0,11
triad_helper,27904,132440,602,602,4,1,32,1024,0,0,0,15
triad_helper,28672,524520,465,465,2,1,64,1024,0,0,0,11
triad_helper,32639,88448,691,691,6,1,32,1024,0,0,0,16
triad_helper,24672,264616,682,682,2,0,32,1024,0,0,0,14
triad_helper,33504,75072,184,184,7,1,32,1024,0,0,0,17
triad_helper,28192,524600,305,305,2,1,64,1024,0,0,0,11
triad_helper,25024,262260,279,279,2,0,32,1024,0,0,0,14
triad_helper,33824,59904,936,936,9,1,32,1024,0,0,0,16
triad_helper,30528,105168,313,313,5,1,32,1024,0,0,0,16
triad_helper,28352,525008,209,209,2,1,64,1024,0,0,0,11
triad_helper,22752,262404,111,111,2,1,32,1024,0,0,0,9
triad_helper,28512,131396,107,107,4,1,32,1024,0,0,0,15
triad_helper,34016,75768,462,462,7,1,32,1024,0,0,0,17
triad_helper,28864,105840,540,540,5,1,32,1024,0,0,0,16
triad_helper,35840,59640,497,497,9,1,32,1024,0,0,0,16
triad_helper,24512,262248,147,147,2,0,32,1024,0,0,0,14
triad_helper,27232,131192,62,62,4,1,32,1024,0,0,0,15
triad_helper,43168,59660,785,785,9,1,32,1024,0,0,0,16
triad_helper,43328,131080,10,10,4,1,32,1024,0,0,0,15
triad_helper,24896,263056,802,802,2,0,32,1024,0,0,0,14
triad_helper,21760,265500,885,885,2,1,32,1024,0,0,0,9
triad_helper,28512,526440,321,321,2,1,64,1024,0,0,0,11
triad_helper,22112,262448,698,698,2,1,32,1024,0,0,0,9
triad_helper,75680,74904,3,3,7,1,32,1024,0,0,0,17
triad_helper,30048,105192,487,487,5,1,32,1024,0,0,0,16
triad_helper,27872,105280,560,560,5,1,32,1024,0,0,0,16
triad_helper,31904,106260,483,483,5,1,32,1024,0,0,0,16
triad_helper,24928,264972,933,933,2,0,32,1024,0,0,0,14
triad_helper,38432,65700,219,219,8,1,32,1024,0,0,0,17
triad_helper,33184,59392,928,928,9,1,32,1024,0,0,0,16
triad_helper,27168,131400,90,90,4,1,32,1024,0,0,0,15
triad_helper,35744,55800,930,930,10,1,32,1024,0,0,0,17
triad_helper,38848,65780,253,253,8,1,32,1024,0,0,0,17
triad_helper,29824,88560,492,492,6,1,32,1024,0,0,0,16
triad_helper,29888,131124,147,147,4,1,32,1024,0,0,0,15
triad_helper,21088,526176,783,783,1,1,32,1024,0,0,0,8
triad_helper,22048,264696,807,807,2,1,32,1024,0,0,0,9
triad_helper,27392,264888,849,849,2,0,32,1024,0,0,0,14
triad_helper,29632,105244,317,317,5,1,32,1024,0,0,0,16
triad_helper,19744,524968,622,622,1,1,32,1024,0,0,0,8
triad_helper,21440,524628,741,741,1,1,32,1024,0,0,0,8
triad_helper,30624,88560,738,738,6,1,32,1024,0,0,0,16
triad_helper,19104,524628,247,247,1,1,32,1024,0,0,0,8
triad_helper,27712,1052296,989,989,1,1,64,1024,0,0,0,10
triad_helper,35808,58588,97,97,9,1,32,1024,0,0,0,16
triad_helper,38336,58888,433,433,9,1,32,1024,0,0,0,16
triad_helper,34944,59856,516,516,9,1,32,1024,0,0,0,16
triad_helper,19936,524400,345,345,1,0,32,1024,0,0,0,8
triad_helper,37728,175120,398,398,3,1,32,1024,0,0,0,15
triad_helper,19040,526176,504,504,1,1,32,1024,0,0,0,8
triad_helper,31615,88320,552,552,6,1,32,1024,0,0,0,16
triad_helper,29472,106392,1023,1023,5,1,32,1024,0,0,0,16
triad_helper,29728,1054560,780,780,1,1,64,1024,0,0,0,10
triad_helper,26144,177056,1006,1006,3,1,32,1024,0,0,0,15
triad_helper,34848,58880,920,920,9,1,32,1024,0,0,0,16
triad_helper,39136,60104,683,683,9,1,32,1024,0,0,0,16
triad_helper,42720,66816,928,928,8,1,32,1024,0,0,0,17
triad_helper,30176,106424,502,502,5,1,32,1024,0,0,0,16
triad_helper,33088,105592,394,394,5,1,32,1024,0,0,0,16
triad_helper,26720,1052480,506,506,1,1,64,1024,0,0,0,10
triad_helper,28224,1051952,946,946,1,1,64,1024,0,0,0,10
triad_helper,20608,524304,198,198,1,0,32,1024,0,0,0,8
triad_helper,21728,262548,153,153,2,1,32,1024,0,0,0,9
triad_helper,25120,524556,81,81,1,1,32,1024,0,0,0,8
triad_helper,18752,524288,256,256,1,1,32,1024,0,0,0,8
triad_helper,20992,262880,265,265,2,1,32,1024,0,0,0,9
triad_helper,21376,264264,1001,1001,2,1,32,1024,0,0,0,9
triad_helper,20736,262256,148,148,2,1,32,1024,0,0,0,9
triad_helper,21792,262544,122,122,2,1,32,1024,0,0,0,9
triad_helper,30784,88776,822,822,6,1,32,1024,0,0,0,16
triad_helper,27680,1049440,937,937,1,1,64,1024,0,0,0,10
triad_helper,36064,58788,207,207,9,1,32,1024,0,0,0,16
triad_helper,30240,106176,474,474,5,1,32,1024,0,0,0,16
triad_helper,90848,58256,2,2,9,1,32,1024,0,0,0,16
triad_helper,44576,66360,790,790,8,1,32,1024,0,0,0,17
triad_helper,48512,67640,890,890,8,1,32,1024,0,0,0,17
triad_helper,25824,175812,299,299,3,1,32,1024,0,0,0,15
triad_helper,21472,263112,577,577,2,1,32,1024,0,0,0,9
triad_helper,33920,74928,28,28,7,1,32,1024,0,0,0,17
triad_helper,36576,76560,870,870,7,1,32,1024,0,0,0,17
triad_helper,38592,65912,107,107,8,1,32,1024,0,0,0,17
triad_helper,20608,524720,937,937,1,0,32,1024,0,0,0,8
triad_helper,19872,526096,1004,1004,1,0,32,1024,0,0,0,8
triad_helper,20352,526080,548,548,1,1,32,1024,0,0,0,8
triad_helper,29856,107460,995,995,5,1,32,1024,0,0,0,16
triad_helper,32000,75824,677,677,7,1,32,1024,0,0,0,17
triad_helper,32928,76496,683,683,7,1,32,1024,0,0,0,17
triad_helper,22176,525312,684,684,1,0,32,1024,0,0,0,8
triad_helper,30496,105000,50,50,5,1,32,1024,0,0,0,16
triad_helper,38944,66768,321,321,8,1,32,1024,0,0,0,17
triad_helper,19520,524480,176,176,1,0,32,1024,0,0,0,8
triad_helper,27392,132264,334,334,4,1,32,1024,0,0,0,15
triad_helper,37504,59280,285,285,9,1,32,1024,0,0,0,16
triad_helper,27712,1050016,418,418,1,1,64,1024,0,0,0,10
triad_helper,27136,175168,952,952,3,1,32,1024,0,0,0,15
triad_helper,34464,131100,19,19,4,1,32,1024,0,0,0,15
triad_helper,26880,175336,707,707,3,1,32,1024,0,0,0,15
triad_helper,20672,262656,152,152,2,1,32,1024,0,0,0,9
triad_helper,31264,87792,708,708,6,1,32,1024,0,0,0,16
triad_helper,20960,263232,457,457,2,1,32,1024,0,0,0,9
triad_helper,19616,526620,1005,1005,1,0,32,1024,0,0,0,8
triad_helper,28864,105600,550,550,5,1,32,1024,0,0,0,16
triad_helper,19904,525600,657,657,1,1,32,1024,0,0,0,8
triad_helper,20320,525156,321,321,1,1,32,1024,0,0,0,8
triad_helper,25632,175624,757,757,3,1,32,1024,0,0,0,15
triad_helper,26592,132736,544,544,4,1,32,1024,0,0,0,15
triad_helper,39840,60248,886,886,9,1,32,1024,0,0,0,16
triad_helper,34240,52624,143,143,10,1,32,1024,0,0,0,17
triad_helper,29248,1053648,813,813,1,1,64,1024,0,0,0,10
triad_helper,24864,132288,312,312,4,1,32,1024,0,0,0,15
triad_helper,34752,75348,273,273,7,1,32,1024,0,0,0,17
triad_helper,30464,88740,493,493,6,1,32,1024,0,0,0,16
triad_helper,27616,131704,202,202,4,1,32,1024,0,0,0,15
triad_helper,282752,131072,1,1,4,1,32,1024,0,0,0,15
triad_helper,26400,177020,835,835,3,1,32,1024,0,0,0,15
triad_helper,25952,175512,426,426,3,1,32,1024,0,0,0,15
triad_helper,45344,67760,847,847,8,1,32,1024,0,0,0,17
triad_helper,27072,1051960,455,455,1,1,64,1024,0,0,0,10
triad_helper,20896,526140,555,555,1,1,32,1024,0,0,0,8
triad_helper,26528,1048864,292,292,1,1,64,1024,0,0,0,10
triad_helper,26272,176656,724,724,3,1,32,1024,0,0,0,15
triad_helper,29792,104864,58,58,5,1,32,1024,0,0,0,16
triad_helper,38144,76704,564,564,7,1,32,1024,0,0,0,17
triad_helper,26976,131704,326,326,4,1,32,1024,0,0,0,15
triad_helper,36672,58880,368,368,9,1,32,1024,0,0,0,16
triad_helper,44768,104864,8,8,5,1,32,1024,0,0,0,16
triad_helper,55712,1048704,48,48,1,1,64,1024,0,0,0,10
triad_helper,26272,1050200,295,295,1,1,64,1024,0,0,0,10
triad_helper,22240,524900,725,725,1,0,32,1024,0,0,0,8
triad_helper,31168,87880,130,130,6,1,32,1024,0,0,0,16
triad_helper,18976,524436,319,319,1,1,32,1024,0,0,0,8
triad_helper,19744,526608,636,636,1,0,32,1024,0,0,0,8
triad_helper,29824,104912,83,83,5,1,32,1024,0,0,0,16
triad_helper,39680,66748,451,451,8,1,32,1024,0,0,0,17
triad_helper,32800,107032,787,787,5,1,32,1024,0,0,0,16
triad_helper,34432,59040,328,328,9,1,32,1024,0,0,0,16
triad_helper,30176,108128,872,872,5,1,32,1024,0,0,0,16
triad_helper,30208,106600,533,533,5,1,32,1024,0,0,0,16
triad_helper,41952,66144,318,318,8,1,32,1024,0,0,0,17
triad_helper,36960,74936,17,17,7,1,32,1024,0,0,0,17
triad_helper,32960,75240,209,209,7,1,32,1024,0,0,0,17
triad_helper,34080,58464,232,232,9,1,32,1024,0,0,0,16
triad_helper,21888,263536,362,362,2,1,32,1024,0,0,0,9
triad_helper,28928,106096,349,349,5,1,32,1024,0,0,0,16
triad_helper,40192,74920,10,10,7,1,32,1024,0,0,0,17
triad_helper,34304,52560,876,876,10,1,32,1024,0,0,0,17
triad_helper,22176,525184,746,746,1,0,32,1024,0,0,0,8
triad_helper,20768,527436,819,819,1,0,32,1024,0,0,0,8
triad_helper,24224,262360,70,70,2,1,32,1024,0,0,0,9
triad_helper,21184,525448,853,853,1,1,32,1024,0,0,0,8
triad_helper,30336,106288,1022,1022,5,1,32,1024,0,0,0,16
triad_helper,47584,65808,914,914,8,1,32,1024,0,0,0,17
triad_helper,25632,177408,672,672,3,1,32,1024,0,0,0,15
triad_helper,28832,105280,940,940,5,1,32,1024,0,0,0,16
triad_helper,30240,105144,1011,1011,5,1,32,1024,0,0,0,16
triad_helper,31936,75008,293,293,7,1,32,1024,0,0,0,17
triad_helper,39520,53480,382,382,10,1,32,1024,0,0,0,17
triad_helper,31136,87472,71,71,6,1,32,1024,0,0,0,16
triad_helper,28576,1053760,890,890,1,1,64,1024,0,0,0,10
triad_helper,37568,66008,223,223,8,1,32,1024,0,0,0,17
triad_helper,38720,58292,13,13,9,1,32,1024,0,0,0,16
triad_helper,26336,1050088,299,299,1,1,64,1024,0,0,0,10
triad_helper,20864,524400,575,575,1,0,32,1024,0,0,0,8
triad_helper,31168,87920,785,785,6,1,32,1024,0,0,0,16
triad_helper,35232,52920,315,315,10,1,32,1024,0,0,0,17
triad_helper,33024,58688,917,917,9,1,32,1024,0,0,0,16
triad_helper,33056,75136,587,587,7,1,32,1024,0,0,0,17
triad_helper,28800,106320,886,886,5,1,32,1024,0,0,0,16
triad_helper,30464,106800,534,534,5,1,32,1024,0,0,0,16
triad_helper,20224,525156,409,409,1,1,32,1024,0,0,0,8
triad_helper,34624,58656,312,312,9,1,32,1024,0,0,0,16
triad_helper,37920,59064,642,642,9,1,32,1024,0,0,0,16
triad_helper,26368,1048640,226,226,1,1,64,1024,0,0,0,10
triad_helper,22752,524744,134,134,1,1,32,1024,0,0,0,8
