Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,TEXTURE_MEMORY,WORK_PER_THREAD,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
md_helper,2432384,73728,1,1,32,0,1,1024,0,0,0,30
md_helper,2374016,36864,1,1,32,0,2,1024,0,0,0,32
md_helper,2411072,24576,1,1,32,0,3,1024,0,0,0,32
md_helper,2728064,18432,1,1,32,0,4,1024,0,0,0,32
md_helper,2831712,14746,1,1,32,0,5,1024,0,0,0,32
md_helper,2719616,73728,1,1,64,0,1,1024,0,0,0,40
md_helper,2713856,36864,1,1,64,0,2,1024,0,0,0,40
md_helper,2915488,24576,1,1,64,0,3,1024,0,0,0,40
md_helper,3201728,18432,1,1,64,0,4,1024,0,0,0,40
md_helper,3226112,14746,1,1,64,0,5,1024,0,0,0,40
md_helper,1446624,73728,2,2,32,0,1,1024,0,0,0,30
md_helper,1526528,36864,2,2,32,0,2,1024,0,0,0,32
md_helper,1571904,24576,2,2,32,0,3,1024,0,0,0,32
md_helper,1696928,18432,2,2,32,0,4,1024,0,0,0,32
md_helper,1699296,14746,2,2,32,0,5,1024,0,0,0,32
md_helper,1593536,73728,2,2,64,0,1,1024,0,0,0,40
md_helper,1733440,36864,2,2,64,0,2,1024,0,0,0,40
md_helper,1759584,24576,2,2,64,0,3,1024,0,0,0,40
md_helper,1907392,18432,2,2,64,0,4,1024,0,0,0,40
md_helper,1900128,14746,2,2,64,0,5,1024,0,0,0,40
md_helper,1043424,73728,3,3,32,0,1,1024,0,0,0,30
md_helper,1077600,36864,3,3,32,0,2,1024,0,0,0,32
md_helper,1246176,24576,3,3,32,0,3,1024,0,0,0,32
md_helper,1291392,18432,3,3,32,0,4,1024,0,0,0,32
md_helper,1205632,14748,3,3,32,0,5,1024,0,0,0,32
md_helper,1138912,73728,3,3,64,0,1,1024,0,0,0,40
md_helper,1200224,36864,3,3,64,0,2,1024,0,0,0,40
md_helper,1407360,24576,3,3,64,0,3,1024,0,0,0,40
md_helper,1432160,18432,3,3,64,0,4,1024,0,0,0,40
md_helper,1357696,14748,3,3,64,0,5,1024,0,0,0,40
md_helper,839584,73728,4,4,32,0,1,1024,0,0,0,30
md_helper,881632,36864,4,4,32,0,2,1024,0,0,0,32
md_helper,980704,24576,4,4,32,0,3,1024,0,0,0,32
md_helper,1001984,18432,4,4,32,0,4,1024,0,0,0,32
md_helper,1192704,14748,4,4,32,0,5,1024,0,0,0,32
md_helper,914272,73728,4,4,64,0,1,1024,0,0,0,40
md_helper,982464,36864,4,4,64,0,2,1024,0,0,0,40
md_helper,1091424,24576,4,4,64,0,3,1024,0,0,0,40
md_helper,1121952,18432,4,4,64,0,4,1024,0,0,0,40
md_helper,1349216,14748,4,4,64,0,5,1024,0,0,0,40
md_helper,667936,73730,5,5,32,0,1,1024,0,0,0,30
md_helper,710944,36865,5,5,32,0,2,1024,0,0,0,32
md_helper,737184,24580,5,5,32,0,3,1024,0,0,0,32
md_helper,974560,18435,5,5,32,0,4,1024,0,0,0,32
md_helper,1033280,14750,5,5,32,0,5,1024,0,0,0,32
md_helper,743168,73730,5,5,64,0,1,1024,0,0,0,40
md_helper,798432,36865,5,5,64,0,2,1024,0,0,0,40
md_helper,825952,24580,5,5,64,0,3,1024,0,0,0,40
md_helper,1075488,18435,5,5,64,0,4,1024,0,0,0,40
md_helper,1154048,14750,5,5,64,0,5,1024,0,0,0,40
md_helper,566400,73728,6,6,32,0,1,1024,0,0,0,30
md_helper,664192,36864,6,6,32,0,2,1024,0,0,0,32
md_helper,740576,24576,6,6,32,0,3,1024,0,0,0,32
md_helper,858304,18432,6,6,32,0,4,1024,0,0,0,32
md_helper,669504,14748,6,6,32,0,5,1024,0,0,0,32
md_helper,632160,73728,6,6,64,0,1,1024,0,0,0,40
md_helper,738208,36864,6,6,64,0,2,1024,0,0,0,40
md_helper,818400,24576,6,6,64,0,3,1024,0,0,0,40
md_helper,939776,18432,6,6,64,0,4,1024,0,0,0,40
md_helper,746912,14748,6,6,64,0,5,1024,0,0,0,40
md_helper,557056,73731,7,7,32,0,1,1024,0,0,0,30
md_helper,638944,36869,7,7,32,0,2,1024,0,0,0,32
md_helper,728960,24577,7,7,32,0,3,1024,0,0,0,32
md_helper,792352,18438,7,7,32,0,4,1024,0,0,0,32
md_helper,653088,14749,7,7,32,0,5,1024,0,0,0,32
md_helper,609504,73731,7,7,64,0,1,1024,0,0,0,40
md_helper,709152,36869,7,7,64,0,2,1024,0,0,0,40
md_helper,783744,24577,7,7,64,0,3,1024,0,0,0,40
md_helper,871776,18438,7,7,64,0,4,1024,0,0,0,40
md_helper,720992,14749,7,7,64,0,5,1024,0,0,0,40
md_helper,466880,73728,8,8,32,0,1,1024,0,0,0,30
md_helper,518719,36864,8,8,32,0,2,1024,0,0,0,32
md_helper,658176,24576,8,8,32,0,3,1024,0,0,0,32
md_helper,537312,18432,8,8,32,0,4,1024,0,0,0,32
md_helper,645920,14752,8,8,32,0,5,1024,0,0,0,32
md_helper,513279,73728,8,8,64,0,1,1024,0,0,0,40
md_helper,581376,36864,8,8,64,0,2,1024,0,0,0,40
md_helper,716640,24576,8,8,64,0,3,1024,0,0,0,40
md_helper,596736,18432,8,8,64,0,4,1024,0,0,0,40
md_helper,713408,14752,8,8,64,0,5,1024,0,0,0,40
md_helper,463840,73728,9,9,32,0,1,1024,0,0,0,30
md_helper,503135,36864,9,9,32,0,2,1024,0,0,0,32
md_helper,618464,24579,9,9,32,0,3,1024,0,0,0,32
md_helper,530528,18432,9,9,32,0,4,1024,0,0,0,32
md_helper,633568,14751,9,9,32,0,5,1024,0,0,0,32
md_helper,505087,73728,9,9,64,0,1,1024,0,0,0,40
md_helper,557344,36864,9,9,64,0,2,1024,0,0,0,40
md_helper,687328,24579,9,9,64,0,3,1024,0,0,0,40
md_helper,589120,18432,9,9,64,0,4,1024,0,0,0,40
md_helper,696192,14751,9,9,64,0,5,1024,0,0,0,40
md_helper,384480,73730,10,10,32,0,1,1024,0,0,0,30
md_helper,509696,36870,10,10,32,0,2,1024,0,0,0,32
md_helper,421312,24580,10,10,32,0,3,1024,0,0,0,32
md_helper,521951,18440,10,10,32,0,4,1024,0,0,0,32
md_helper,626624,14750,10,10,32,0,5,1024,0,0,0,32
md_helper,426240,73730,10,10,64,0,1,1024,0,0,0,40
md_helper,562176,36870,10,10,64,0,2,1024,0,0,0,40
md_helper,463264,24580,10,10,64,0,3,1024,0,0,0,40
md_helper,574752,18440,10,10,64,0,4,1024,0,0,0,40
md_helper,685728,14750,10,10,64,0,5,1024,0,0,0,40
md_helper,366304,73733,11,11,32,0,1,1024,0,0,0,30
md_helper,460960,36872,11,11,32,0,2,1024,0,0,0,32
md_helper,416928,24585,11,11,32,0,3,1024,0,0,0,32
md_helper,521344,18436,11,11,32,0,4,1024,0,0,0,32
md_helper,626400,14751,11,11,32,0,5,1024,0,0,0,32
md_helper,401568,73733,11,11,64,0,1,1024,0,0,0,40
md_helper,497088,36872,11,11,64,0,2,1024,0,0,0,40
md_helper,457024,24585,11,11,64,0,3,1024,0,0,0,40
md_helper,568480,18436,11,11,64,0,4,1024,0,0,0,40
md_helper,685056,14751,11,11,64,0,5,1024,0,0,0,40
md_helper,362784,73728,12,12,32,0,1,1024,0,0,0,30
md_helper,458368,36864,12,12,32,0,2,1024,0,0,0,32
md_helper,409280,24576,12,12,32,0,3,1024,0,0,0,32
md_helper,527520,18432,12,12,32,0,4,1024,0,0,0,32
md_helper,619264,14748,12,12,32,0,5,1024,0,0,0,32
md_helper,396000,73728,12,12,64,0,1,1024,0,0,0,40
md_helper,498112,36864,12,12,64,0,2,1024,0,0,0,40
md_helper,450272,24576,12,12,64,0,3,1024,0,0,0,40
md_helper,575008,18432,12,12,64,0,4,1024,0,0,0,40
md_helper,676864,14748,12,12,64,0,5,1024,0,0,0,40
md_helper,364608,73736,13,13,32,0,1,1024,0,0,0,30
md_helper,450912,36868,13,13,32,0,2,1024,0,0,0,32
md_helper,407360,24583,13,13,32,0,3,1024,0,0,0,32
md_helper,512928,18434,13,13,32,0,4,1024,0,0,0,32
md_helper,616704,14755,13,13,32,0,5,1024,0,0,0,32
md_helper,393664,73736,13,13,64,0,1,1024,0,0,0,40
md_helper,497472,36868,13,13,64,0,2,1024,0,0,0,40
md_helper,447520,24583,13,13,64,0,3,1024,0,0,0,40
md_helper,562144,18434,13,13,64,0,4,1024,0,0,0,40
md_helper,672160,14755,13,13,64,0,5,1024,0,0,0,40
md_helper,367008,73738,14,14,32,0,1,1024,0,0,0,30
md_helper,438656,36876,14,14,32,0,2,1024,0,0,0,32
md_helper,405152,24584,14,14,32,0,3,1024,0,0,0,32
md_helper,510752,18438,14,14,32,0,4,1024,0,0,0,32
md_helper,616512,14756,14,14,32,0,5,1024,0,0,0,32
md_helper,391456,73738,14,14,64,0,1,1024,0,0,0,40
