Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,GRID_SIZE,PRECISION,LOOP_UNROLL_REDUCE_1,LOOP_UNROLL_REDUCE_2,TEXTURE_MEMORY,KERNEL_SHARED_MEMORY_SIZE,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
reduce_helper,940086848,1,1,1,1,32,0,0,0,1,1024,16,0,0,15
reduce_helper,931503744,1,1,1,1,32,0,1,0,1,1024,16,0,0,14
reduce_helper,916992832,1,1,1,1,32,1,0,0,1,1024,16,0,0,15
reduce_helper,931474112,1,1,1,1,32,1,1,0,1,1024,16,0,0,14
reduce_helper,716486272,1,1,1,1,64,0,0,0,1,1024,32,0,0,16
reduce_helper,716502336,1,1,1,1,64,0,1,0,1,1024,32,0,0,16
reduce_helper,716511616,1,1,1,1,64,1,0,0,1,1024,32,0,0,16
reduce_helper,716502208,1,1,1,1,64,1,1,0,1,1024,32,0,0,16
reduce_helper,631035264,2,1,1,2,32,0,0,0,1,1024,16,0,0,15
reduce_helper,642438464,2,1,1,2,32,0,1,0,1,1024,16,0,0,14
reduce_helper,630804800,2,1,1,2,32,1,0,0,1,1024,16,0,0,15
reduce_helper,642166784,2,1,1,2,32,1,1,0,1,1024,16,0,0,14
reduce_helper,518634944,2,1,1,2,64,0,0,0,1,1024,32,0,0,16
reduce_helper,520049920,2,1,1,2,64,0,1,0,1,1024,32,0,0,16
reduce_helper,518589280,2,1,1,2,64,1,0,0,1,1024,32,0,0,16
reduce_helper,519865056,2,1,1,2,64,1,1,0,1,1024,32,0,0,16
reduce_helper,491668608,4,1,1,4,32,0,0,0,1,1024,16,0,0,15
reduce_helper,493619616,4,1,1,4,32,0,1,0,1,1024,16,0,0,14
reduce_helper,491762144,4,1,1,4,32,1,0,0,1,1024,16,0,0,15
reduce_helper,493619200,4,1,1,4,32,1,1,0,1,1024,16,0,0,14
reduce_helper,335368096,4,1,1,4,64,0,0,0,1,1024,32,0,0,16
reduce_helper,335647136,4,1,1,4,64,0,1,0,1,1024,32,0,0,16
reduce_helper,335371808,4,1,1,4,64,1,0,0,1,1024,32,0,0,16
reduce_helper,335655616,4,1,1,4,64,1,1,0,1,1024,32,0,0,16
reduce_helper,315635968,8,1,1,8,32,0,0,0,1,1024,16,0,0,15
reduce_helper,319423264,8,1,1,8,32,0,1,0,1,1024,16,0,0,14
reduce_helper,315679264,8,1,1,8,32,1,0,0,1,1024,16,0,0,15
reduce_helper,319525728,8,1,1,8,32,1,1,0,1,1024,16,0,0,14
reduce_helper,168255168,8,1,1,8,64,0,0,0,1,1024,32,0,0,16
reduce_helper,168561952,8,1,1,8,64,0,1,0,1,1024,32,0,0,16
reduce_helper,168257824,8,1,1,8,64,1,0,0,1,1024,32,0,0,16
reduce_helper,168574208,8,1,1,8,64,1,1,0,1,1024,32,0,0,16
reduce_helper,156889952,16,1,1,16,32,0,0,0,1,1024,16,0,0,15
reduce_helper,158498240,16,1,1,16,32,0,1,0,1,1024,16,0,0,14
reduce_helper,156872544,16,1,1,16,32,1,0,0,1,1024,16,0,0,15
reduce_helper,158491840,16,1,1,16,32,1,1,0,1,1024,16,0,0,14
reduce_helper,84026592,16,1,1,16,64,0,0,0,1,1024,32,0,0,16
reduce_helper,84178272,16,1,1,16,64,0,1,0,1,1024,32,0,0,16
reduce_helper,84156800,16,1,1,16,64,1,0,0,1,1024,32,0,0,16
reduce_helper,84185664,16,1,1,16,64,1,1,0,1,1024,32,0,0,16
reduce_helper,78220160,32,1,1,32,32,0,0,0,1,1024,16,0,0,15
reduce_helper,78753792,32,1,1,32,32,0,1,0,1,1024,16,0,0,14
reduce_helper,78222432,32,1,1,32,32,1,0,0,1,1024,16,0,0,15
reduce_helper,78778528,32,1,1,32,32,1,1,0,1,1024,16,0,0,14
reduce_helper,42438048,32,1,1,32,64,0,0,0,1,1024,32,0,0,16
reduce_helper,42610848,32,1,1,32,64,0,1,0,1,1024,32,0,0,16
