Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,UNROLL_OUTER_LOOP,UNROLL_INNER_LOOP,CHUNK_FACTOR,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
BFS_kernel_warp,78496,125136,176,176,1,0,8,1024,0,0,0,20
BFS_kernel_warp,74944,250648,776,776,1,1,4,1024,0,0,0,20
BFS_kernel_warp,98336,1000032,33,33,0,1,1,1024,0,0,0,20
BFS_kernel_warp,74112,125500,1004,1004,0,0,8,1024,0,0,0,20
BFS_kernel_warp,66880,1000536,887,887,1,0,1,1024,0,0,0,20
BFS_kernel_warp,67456,250050,150,150,0,0,4,1024,0,0,0,20
BFS_kernel_warp,65696,250200,300,300,0,1,4,1024,0,0,0,20
BFS_kernel_warp,73056,125058,114,114,0,0,8,1024,0,0,0,20
BFS_kernel_warp,70976,125130,970,970,1,0,8,1024,0,0,0,20
BFS_kernel_warp,86688,250012,28,28,0,0,4,1024,0,0,0,20
BFS_kernel_warp,74208,125145,309,309,0,0,8,1024,0,0,0,20
BFS_kernel_warp,67680,500080,376,376,0,1,2,1024,0,0,0,20
BFS_kernel_warp,81632,125083,107,107,0,1,8,1024,0,0,0,20
BFS_kernel_warp,68608,250405,821,821,0,0,4,1024,0,0,0,20
BFS_kernel_warp,76512,125370,630,630,0,1,8,1024,0,0,0,20
BFS_kernel_warp,71488,250182,339,339,1,1,4,1024,0,0,0,20
BFS_kernel_warp,70336,1000048,112,112,0,1,1,1024,0,0,0,20
BFS_kernel_warp,71040,250104,204,204,0,1,4,1024,0,0,0,20
BFS_kernel_warp,73600,500027,131,131,0,1,2,1024,0,0,0,20
BFS_kernel_warp,70528,250368,384,384,1,1,4,1024,0,0,0,20
BFS_kernel_warp,70080,250446,534,534,0,0,4,1024,0,0,0,20
BFS_kernel_warp,67872,500112,453,453,0,1,2,1024,0,0,0,20
BFS_kernel_warp,71040,250509,553,553,0,0,4,1024,0,0,0,20
BFS_kernel_warp,70368,125135,863,863,0,1,8,1024,0,0,0,20
BFS_kernel_warp,68288,1000110,901,901,0,1,1,1024,0,0,0,20
BFS_kernel_warp,77888,125130,485,485,0,1,8,1024,0,0,0,20
BFS_kernel_warp,68768,1000104,168,168,0,1,1,1024,0,0,0,20
BFS_kernel_warp,67168,1000331,361,361,0,1,1,1024,0,0,0,20
BFS_kernel_warp,69408,250056,906,906,0,0,4,1024,0,0,0,20
BFS_kernel_warp,72640,250030,110,110,1,0,4,1024,0,0,0,20
BFS_kernel_warp,75232,125712,873,873,0,0,8,1024,0,0,0,20
BFS_kernel_warp,73984,250120,260,260,0,1,4,1024,0,0,0,20
BFS_kernel_warp,71328,250260,860,860,0,1,4,1024,0,0,0,20
BFS_kernel_warp,69760,250480,496,496,1,0,4,1024,0,0,0,20
BFS_kernel_warp,68832,250194,483,483,0,0,4,1024,0,0,0,20
BFS_kernel_warp,70752,250210,262,262,0,0,4,1024,0,0,0,20
BFS_kernel_warp,69056,250416,846,846,0,0,4,1024,0,0,0,20
BFS_kernel_warp,71840,500780,1022,1022,0,0,2,1024,0,0,0,20
BFS_kernel_warp,72320,250128,324,324,0,1,4,1024,0,0,0,20
BFS_kernel_warp,66496,1000188,252,252,0,0,1,1024,0,0,0,20
BFS_kernel_warp,83904,500004,43,43,0,0,2,1024,0,0,0,20
BFS_kernel_warp,70016,1000110,510,510,0,1,1,1024,0,0,0,20
BFS_kernel_warp,74944,125171,199,199,0,0,8,1024,0,0,0,20
BFS_kernel_warp,70784,125400,570,570,0,0,8,1024,0,0,0,20
BFS_kernel_warp,67456,500220,420,420,0,0,2,1024,0,0,0,20
BFS_kernel_warp,68960,250192,823,823,0,0,4,1024,0,0,0,20
BFS_kernel_warp,75328,250390,686,686,0,0,4,1024,0,0,0,20
BFS_kernel_warp,67968,250750,850,850,0,0,4,1024,0,0,0,20
BFS_kernel_warp,74080,125375,425,425,0,0,8,1024,0,0,0,20
BFS_kernel_warp,67840,1000298,487,487,1,0,1,1024,0,0,0,20
BFS_kernel_warp,72896,250100,610,610,0,0,4,1024,0,0,0,20
BFS_kernel_warp,70176,1000153,341,341,1,0,1,1024,0,0,0,20
BFS_kernel_warp,66720,1000008,306,306,0,0,1,1024,0,0,0,20
BFS_kernel_warp,71616,250425,525,525,0,0,4,1024,0,0,0,20
BFS_kernel_warp,81472,1000042,67,67,1,0,1,1024,0,0,0,20
BFS_kernel_warp,68704,1000032,88,88,0,0,1,1024,0,0,0,20
BFS_kernel_warp,72448,250488,568,568,0,0,4,1024,0,0,0,20
BFS_kernel_warp,68608,500409,423,423,0,0,2,1024,0,0,0,20
BFS_kernel_warp,67008,500016,88,88,0,0,2,1024,0,0,0,20
BFS_kernel_warp,72224,1000350,675,675,0,1,1,1024,0,0,0,20
BFS_kernel_warp,69408,1000113,141,141,1,0,1,1024,0,0,0,20
