Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,728601,1,1,1,1,1,1,512,512,64,0,1,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,26148341,1,1,1,1,1,1,128,2,32,0,0,1,1024,2048,0,0,31,1024,4096,0,0,13,1024,4100,0,0,18
scan,6512137,1,1,1,1,1,1,256,4,32,1,1,1,1024,4096,0,0,31,1024,8192,0,0,12,1024,8196,0,0,18
scan,1406141,1,1,1,1,1,1,128,32,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,5696863,1,1,1,1,1,1,64,8,64,1,1,1,1024,2048,0,0,28,1024,4096,0,0,14,1024,4104,0,0,26
scan,6086162,1,1,1,1,1,1,64,16,32,0,0,1,1024,1024,0,0,31,1024,2048,0,0,13,1024,2052,0,0,18
scan,923361,1,1,1,1,1,1,128,64,64,0,0,1,1024,4096,0,0,28,1024,8192,0,0,16,1024,8200,0,0,26
scan,827409,1,1,1,1,1,1,128,128,32,0,0,1,1024,2048,0,0,31,1024,4096,0,0,13,1024,4100,0,0,18
scan,923543,1,1,1,1,1,1,512,32,64,0,0,1,1024,16384,0,0,28,1024,32768,0,0,16,1024,32776,0,0,26
scan,128856154,1,1,1,1,1,1,16,1,64,1,1,1,1024,512,0,0,28,1024,1024,0,0,14,1024,1032,0,0,32
scan,652612,1,1,1,1,1,1,512,256,64,1,1,1,1024,16384,0,0,28,1024,32768,0,0,14,1024,32776,0,0,26
scan,1397456,1,1,1,1,1,1,512,16,32,1,1,1,1024,8192,0,0,31,1024,16384,0,0,12,1024,16388,0,0,18
scan,654592,1,1,1,1,1,1,256,256,64,0,1,1,1024,8192,0,0,28,1024,16384,0,0,16,1024,16392,0,0,26
