Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,2519747,1,1,1,1,1,1,128,16,32,0,1,1,1024,2048,0,0,41,1024,4096,0,0,13,1024,4100,0,0,22
scan,1853267,1,1,1,1,1,1,256,16,32,1,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,7365664,1,1,1,1,1,1,512,4,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,8757780,1,1,1,1,1,1,512,2,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,2146465,1,1,1,1,1,1,256,16,64,1,0,1,1024,8192,0,0,44,1024,16384,0,0,16,1024,16392,0,0,26
scan,2155275,1,1,1,1,1,1,256,16,64,0,0,1,1024,8192,0,0,44,1024,16384,0,0,18,1024,16392,0,0,30
scan,687145,1,1,1,1,1,1,256,64,64,0,1,1,1024,8192,0,0,44,1024,16384,0,0,16,1024,16392,0,0,30
scan,475226,1,1,1,1,1,1,512,512,32,1,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,17396489,1,1,1,1,1,1,512,1,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,1029027,1,1,1,1,1,1,64,64,64,0,1,1,1024,2048,0,0,44,1024,4096,0,0,16,1024,4104,0,0,30
scan,866938,1,1,1,1,1,1,128,64,64,0,0,1,1024,4096,0,0,44,1024,8192,0,0,18,1024,8200,0,0,30
scan,18831381,1,1,1,1,1,1,512,1,32,1,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,1500733,1,1,1,1,1,1,128,32,32,1,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,471373,1,1,1,1,1,1,512,256,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,14183696,1,1,1,1,1,1,512,2,64,1,1,1,1024,16384,0,0,44,1024,32768,0,0,16,1024,32776,0,0,34
scan,31667746,1,1,1,1,1,1,64,2,32,1,1,1,1024,1024,0,0,41,1024,2048,0,0,10,1024,2052,0,0,18
scan,7172466,1,1,1,1,1,1,512,4,64,1,1,1,1024,16384,0,0,44,1024,32768,0,0,16,1024,32776,0,0,34
scan,634124,1,1,1,1,1,1,512,512,64,1,1,1,1024,16384,0,0,44,1024,32768,0,0,16,1024,32776,0,0,34
scan,8788282,1,1,1,1,1,1,512,2,32,1,1,1,1024,8192,0,0,41,1024,16384,0,0,10,1024,16388,0,0,18
scan,747471,1,1,1,1,1,1,512,32,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,471035,1,1,1,1,1,1,512,128,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,472660,1,1,1,1,1,1,512,512,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,62989610,1,1,1,1,1,1,64,1,32,0,1,1,1024,1024,0,0,41,1024,2048,0,0,13,1024,2052,0,0,18
scan,16108022,1,1,1,1,1,1,512,1,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,471406,1,1,1,1,1,1,512,128,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,6606124,1,1,1,1,1,1,512,4,64,0,1,1,1024,16384,0,0,44,1024,32768,0,0,16,1024,32776,0,0,30
scan,471014,1,1,1,1,1,1,512,256,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,491460,1,1,1,1,1,1,512,64,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,472906,1,1,1,1,1,1,256,256,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,676193,1,1,1,1,1,1,512,256,64,1,0,1,1024,16384,0,0,44,1024,32768,0,0,16,1024,32776,0,0,26
scan,9254255,1,1,1,1,1,1,64,8,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,29080605,1,1,1,1,1,1,512,1,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,541207,1,1,1,1,1,1,512,64,32,1,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,586314,1,1,1,1,1,1,128,128,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,484183,1,1,1,1,1,1,256,128,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,55689848,1,1,1,1,1,1,16,4,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,17
scan,4526482,1,1,1,1,1,1,512,4,32,0,1,1,1024,8192,0,0,41,1024,16384,0,0,13,1024,16388,0,0,22
scan,471231,1,1,1,1,1,1,256,256,32,0,1,1,1024,4096,0,0,41,1024,8192,0,0,13,1024,8196,0,0,22
scan,18939692,1,1,1,1,1,1,512,1,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,2814675,1,1,1,1,1,1,128,16,32,0,0,1,1024,2048,0,0,41,1024,4096,0,0,14,1024,4100,0,0,19
scan,695585,1,1,1,1,1,1,512,64,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,542421,1,1,1,1,1,1,512,64,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,3513663,1,1,1,1,1,1,256,8,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,2441217,1,1,1,1,1,1,64,32,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,18344869,1,1,1,1,1,1,64,4,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,473031,1,1,1,1,1,1,512,512,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,653904,1,1,1,1,1,1,256,64,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
scan,9562620,1,1,1,1,1,1,512,2,32,0,0,1,1024,8192,0,0,41,1024,16384,0,0,14,1024,16388,0,0,19
scan,27930288,1,1,1,1,1,1,16,8,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,17
scan,4708904,1,1,1,1,1,1,64,16,32,0,0,1,1024,1024,0,0,41,1024,2048,0,0,14,1024,2052,0,0,19
scan,3762317,1,1,1,1,1,1,512,8,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,1053293,1,1,1,1,1,1,512,32,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,675449,1,1,1,1,1,1,512,256,64,0,0,1,1024,16384,0,0,44,1024,32768,0,0,18,1024,32776,0,0,30
scan,1051803,1,1,1,1,1,1,256,32,32,0,0,1,1024,4096,0,0,41,1024,8192,0,0,14,1024,8196,0,0,19
