Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,Global size 3,Local size 3,Global size 4,Local size 4,LOOP_UNROLL_LSB,LOOP_UNROLL_LOCAL_MEMORY,LOOP_UNROLL_ADD_UNIFORM,SCAN_DATA_SIZE,SORT_DATA_SIZE,SCAN_BLOCK_SIZE,SORT_BLOCK_SIZE,INLINE_LSB,INLINE_SCAN,INLINE_LOCAL_MEMORY,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2,Maximum work-group size 3,Local memory size 3,Private memory size 3,Constant memory size 3,Registers count 3,Maximum work-group size 4,Local memory size 4,Private memory size 4,Constant memory size 4,Registers count 4
sort,74574194,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,128,128,0,1,1,1024,2052,0,0,39,1024,2112,0,0,24,1024,4224,0,0,36,1024,4,0,0,10,1024,2048,0,0,20
sort,45629335,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,256,256,1,1,1,1024,4100,0,0,39,1024,4160,0,0,24,1024,8320,0,0,36,1024,4,0,0,10,1024,4096,0,0,20
sort,31909560,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,256,256,1,1,1,1024,8196,0,0,61,1024,8256,0,0,35,1024,16512,0,0,54,1024,4,0,0,10,1024,8192,0,0,28
sort,70966847,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,64,64,1,0,1,1024,2052,0,0,49,1024,2112,0,0,35,1024,4224,0,0,54,1024,4,0,0,10,1024,2048,0,0,28
sort,70582996,1,1,1,1,1,1,1,1,1,1,1,1,0,8,8,64,64,1,0,1,1024,2052,0,0,50,1024,2112,0,0,35,1024,4224,0,0,54,1024,4,0,0,10,1024,2048,0,0,24
sort,231106143,1,1,1,1,1,1,1,1,1,1,1,0,1,2,8,64,16,1,0,1,1024,516,0,0,49,1024,576,0,0,16,1024,1152,0,0,24,1024,4,0,0,10,1024,512,0,0,28
sort,49540126,1,1,1,1,1,1,1,1,1,1,1,1,0,4,2,256,512,1,1,1,1024,4100,0,0,27,1024,4160,0,0,24,1024,8320,0,0,36,1024,4,0,0,10,1024,4096,0,0,17
sort,234806728,1,1,1,1,1,1,1,1,1,1,0,1,1,4,4,32,32,0,0,0,1024,516,0,0,44,1024,576,0,0,24,1024,1152,0,0,36,1024,4,0,0,10,1024,512,0,0,20
sort,454551442,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,32,32,1,1,0,1024,260,0,0,24,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,17
sort,43480628,1,1,1,1,1,1,1,1,1,1,0,1,1,4,4,256,256,0,0,1,1024,4100,0,0,41,1024,4160,0,0,24,1024,8320,0,0,36,1024,4,0,0,10,1024,4096,0,0,20
sort,122589412,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,32,32,0,1,0,1024,1028,0,0,46,1024,1088,0,0,35,1024,2176,0,0,54,1024,4,0,0,10,1024,1024,0,0,24
sort,38664193,1,1,1,1,1,1,1,1,1,1,0,0,1,8,2,256,1024,1,1,1,1024,8196,0,0,34,1024,8256,0,0,35,1024,16512,0,0,54,1024,4,0,0,10,1024,8192,0,0,19
sort,30407430,1,1,1,1,1,1,1,1,1,1,0,0,1,4,8,512,256,1,1,1,1024,8196,0,0,61,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,28
sort,31373641,1,1,1,1,1,1,1,1,1,1,0,0,1,4,8,512,256,1,0,0,1024,8196,0,0,49,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,31559537,1,1,1,1,1,1,1,1,1,1,0,1,1,4,8,512,256,1,1,1,1024,8196,0,0,61,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,43791682,1,1,1,1,1,1,1,1,1,1,0,0,1,4,2,512,1024,1,1,1,1024,8196,0,0,34,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,17
sort,31686038,1,1,1,1,1,1,1,1,1,1,0,0,1,2,8,1024,256,1,1,1,1024,8196,0,0,61,1024,8256,0,0,16,1024,16512,0,0,24,1024,4,0,0,10,1024,8192,0,0,26
sort,30801369,1,1,1,1,1,1,1,1,1,1,0,0,0,4,8,512,256,1,1,0,1024,8196,0,0,61,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,31576509,1,1,1,1,1,1,1,1,1,1,0,1,0,4,8,512,256,1,1,1,1024,8196,0,0,61,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,31589044,1,1,1,1,1,1,1,1,1,1,1,0,1,4,8,512,256,1,0,1,1024,8196,0,0,49,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,28
sort,31497511,1,1,1,1,1,1,1,1,1,1,1,0,1,4,8,512,256,1,1,0,1024,8196,0,0,47,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,31522738,1,1,1,1,1,1,1,1,1,1,1,0,1,4,8,512,256,1,1,1,1024,8196,0,0,47,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,28
sort,31527419,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,512,256,1,1,1,1024,8196,0,0,47,1024,8256,0,0,24,1024,16512,0,0,36,1024,4,0,0,10,1024,8192,0,0,26
sort,25408937,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,512,512,1,1,1,1024,16388,0,0,59,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,28
sort,25361592,1,1,1,1,1,1,1,1,1,1,0,0,0,8,8,512,512,1,1,0,1024,16388,0,0,59,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,26
sort,25337621,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,512,512,1,1,0,1024,16388,0,0,59,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,26
sort,31655744,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,256,256,1,1,0,1024,8196,0,0,61,1024,8256,0,0,35,1024,16512,0,0,54,1024,4,0,0,10,1024,8192,0,0,28
sort,70584558,1,1,1,1,1,1,1,1,1,1,0,0,1,8,8,64,64,1,1,0,1024,2052,0,0,57,1024,2112,0,0,35,1024,4224,0,0,54,1024,4,0,0,10,1024,2048,0,0,28
sort,25398885,1,1,1,1,1,1,1,1,1,1,0,1,1,8,8,512,512,1,0,0,1024,16388,0,0,49,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,28
sort,25349840,1,1,1,1,1,1,1,1,1,1,1,0,1,8,8,512,512,1,0,0,1024,16388,0,0,49,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,26
sort,25318877,1,1,1,1,1,1,1,1,1,1,1,0,1,8,8,512,512,1,1,0,1024,16388,0,0,47,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,26
sort,52631846,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,512,512,1,1,0,1024,4100,0,0,27,1024,4160,0,0,16,1024,8320,0,0,24,1024,4,0,0,10,1024,4096,0,0,20
sort,25478067,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,512,512,0,1,0,1024,16388,0,0,46,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,28
sort,25559199,1,1,1,1,1,1,1,1,1,1,1,0,1,8,8,512,512,0,0,0,1024,16388,0,0,48,1024,16448,0,0,35,1024,32896,0,0,54,1024,4,0,0,10,1024,16384,0,0,26
