Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,FORMAT,UNROLL_LOOP_1,UNROLL_LOOP_2,TEXTURE_MEMORY,THREADS_PER_ROW,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
spmv_kernel,1064576,16384,1,1,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,481728,16384,1,1,32,0,1,0,0,1,1024,0,0,0,28
spmv_kernel,555840,16384,1,1,32,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,329280,16384,1,1,32,1,1,0,0,1,1024,0,0,0,26
spmv_kernel,565280,16384,1,1,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,337696,16384,1,1,32,2,1,0,0,1,1024,0,0,0,26
spmv_kernel,1212768,16384,1,1,64,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,552736,16384,1,1,64,0,1,0,0,1,1024,0,0,0,27
spmv_kernel,726688,16384,1,1,64,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,519360,16384,1,1,64,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,741728,16384,1,1,64,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,544256,16384,1,1,64,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,669216,16384,2,2,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,300064,16384,2,2,32,0,1,0,0,1,1024,0,0,0,28
spmv_kernel,375968,16384,2,2,32,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,218624,16384,2,2,32,1,1,0,0,1,1024,0,0,0,26
spmv_kernel,343136,16384,2,2,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,215904,16384,2,2,32,2,1,0,0,1,1024,0,0,0,26
spmv_kernel,758144,16384,2,2,64,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,339488,16384,2,2,64,0,1,0,0,1,1024,0,0,0,27
spmv_kernel,479392,16384,2,2,64,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,311424,16384,2,2,64,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,451520,16384,2,2,64,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,319072,16384,2,2,64,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,469760,16386,3,3,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,220992,16386,3,3,32,0,1,0,0,1,1024,0,0,0,28
spmv_kernel,294688,16386,3,3,32,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,173184,16386,3,3,32,1,1,0,0,1,1024,0,0,0,26
spmv_kernel,250912,16386,3,3,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,174976,16386,3,3,32,2,1,0,0,1,1024,0,0,0,26
spmv_kernel,535360,16386,3,3,64,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,243392,16386,3,3,64,0,1,0,0,1,1024,0,0,0,27
spmv_kernel,372640,16386,3,3,64,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,243648,16386,3,3,64,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,330080,16386,3,3,64,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,245888,16386,3,3,64,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,406944,16384,4,4,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,188704,16384,4,4,32,0,1,0,0,1,1024,0,0,0,28
spmv_kernel,270816,16384,4,4,32,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,163424,16384,4,4,32,1,1,0,0,1,1024,0,0,0,26
spmv_kernel,223040,16384,4,4,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,171040,16384,4,4,32,2,1,0,0,1,1024,0,0,0,26
spmv_kernel,462272,16384,4,4,64,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,216832,16384,4,4,64,0,1,0,0,1,1024,0,0,0,27
spmv_kernel,345344,16384,4,4,64,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,219680,16384,4,4,64,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,299072,16384,4,4,64,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,219360,16384,4,4,64,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,333504,16385,5,5,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,159840,16385,5,5,32,0,1,0,0,1,1024,0,0,0,28
spmv_kernel,235904,16385,5,5,32,1,0,0,0,1,1024,0,0,0,20
spmv_kernel,154976,16385,5,5,32,1,1,0,0,1,1024,0,0,0,26
spmv_kernel,192448,16385,5,5,32,2,0,0,0,1,1024,0,0,0,20
