Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,UNROLL_OUTER_LOOP,UNROLL_INNER_LOOP,CHUNK_FACTOR,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
BFS_kernel_warp,13134848,1000000,1,1,0,0,1,1024,0,0,0,20
BFS_kernel_warp,12201344,500000,1,1,0,0,2,1024,0,0,0,20
BFS_kernel_warp,11929600,250000,1,1,0,0,4,1024,0,0,0,20
BFS_kernel_warp,11802528,125000,1,1,0,0,8,1024,0,0,0,20
BFS_kernel_warp,12826048,1000000,1,1,0,1,1,1024,0,0,0,20
BFS_kernel_warp,12216576,500000,1,1,0,1,2,1024,0,0,0,20
BFS_kernel_warp,11949504,250000,1,1,0,1,4,1024,0,0,0,20
BFS_kernel_warp,11882496,125000,1,1,0,1,8,1024,0,0,0,20
BFS_kernel_warp,12809728,1000000,1,1,1,0,1,1024,0,0,0,20
BFS_kernel_warp,12211232,500000,1,1,1,0,2,1024,0,0,0,20
BFS_kernel_warp,11949184,250000,1,1,1,0,4,1024,0,0,0,20
BFS_kernel_warp,11815360,125000,1,1,1,0,8,1024,0,0,0,20
BFS_kernel_warp,12798624,1000000,1,1,1,1,1,1024,0,0,0,20
BFS_kernel_warp,12202656,500000,1,1,1,1,2,1024,0,0,0,20
BFS_kernel_warp,11933664,250000,1,1,1,1,4,1024,0,0,0,20
BFS_kernel_warp,11807584,125000,1,1,1,1,8,1024,0,0,0,20
BFS_kernel_warp,6420480,1000000,2,2,0,0,1,1024,0,0,0,20
BFS_kernel_warp,6129632,500000,2,2,0,0,2,1024,0,0,0,20
BFS_kernel_warp,5998304,250000,2,2,0,0,4,1024,0,0,0,20
BFS_kernel_warp,5956704,125000,2,2,0,0,8,1024,0,0,0,20
BFS_kernel_warp,6421216,1000000,2,2,0,1,1,1024,0,0,0,20
BFS_kernel_warp,6129248,500000,2,2,0,1,2,1024,0,0,0,20
BFS_kernel_warp,5992992,250000,2,2,0,1,4,1024,0,0,0,20
BFS_kernel_warp,5937568,125000,2,2,0,1,8,1024,0,0,0,20
BFS_kernel_warp,6417024,1000000,2,2,1,0,1,1024,0,0,0,20
BFS_kernel_warp,6131520,500000,2,2,1,0,2,1024,0,0,0,20
BFS_kernel_warp,5996896,250000,2,2,1,0,4,1024,0,0,0,20
BFS_kernel_warp,5943808,125000,2,2,1,0,8,1024,0,0,0,20
BFS_kernel_warp,6419552,1000000,2,2,1,1,1,1024,0,0,0,20
BFS_kernel_warp,6125920,500000,2,2,1,1,2,1024,0,0,0,20
BFS_kernel_warp,5995712,250000,2,2,1,1,4,1024,0,0,0,20
BFS_kernel_warp,5941152,125000,2,2,1,1,8,1024,0,0,0,20
BFS_kernel_warp,4304896,1000002,3,3,0,0,1,1024,0,0,0,20
BFS_kernel_warp,4102560,500001,3,3,0,0,2,1024,0,0,0,20
BFS_kernel_warp,4018176,250002,3,3,0,0,4,1024,0,0,0,20
BFS_kernel_warp,3983392,125001,3,3,0,0,8,1024,0,0,0,20
BFS_kernel_warp,4296128,1000002,3,3,0,1,1,1024,0,0,0,20
BFS_kernel_warp,4104640,500001,3,3,0,1,2,1024,0,0,0,20
BFS_kernel_warp,4019552,250002,3,3,0,1,4,1024,0,0,0,20
BFS_kernel_warp,3982400,125001,3,3,0,1,8,1024,0,0,0,20
BFS_kernel_warp,4294592,1000002,3,3,1,0,1,1024,0,0,0,20
BFS_kernel_warp,4102176,500001,3,3,1,0,2,1024,0,0,0,20
BFS_kernel_warp,4016224,250002,3,3,1,0,4,1024,0,0,0,20
BFS_kernel_warp,3980160,125001,3,3,1,0,8,1024,0,0,0,20
BFS_kernel_warp,4304864,1000002,3,3,1,1,1,1024,0,0,0,20
BFS_kernel_warp,4106239,500001,3,3,1,1,2,1024,0,0,0,20
BFS_kernel_warp,4018176,250002,3,3,1,1,4,1024,0,0,0,20
BFS_kernel_warp,3983392,125001,3,3,1,1,8,1024,0,0,0,20
BFS_kernel_warp,3241984,1000000,4,4,0,0,1,1024,0,0,0,20
BFS_kernel_warp,3082592,500000,4,4,0,0,2,1024,0,0,0,20
BFS_kernel_warp,3017568,250000,4,4,0,0,4,1024,0,0,0,20
BFS_kernel_warp,2995904,125000,4,4,0,0,8,1024,0,0,0,20
BFS_kernel_warp,3246720,1000000,4,4,0,1,1,1024,0,0,0,20
BFS_kernel_warp,3082592,500000,4,4,0,1,2,1024,0,0,0,20
BFS_kernel_warp,3019168,250000,4,4,0,1,4,1024,0,0,0,20
BFS_kernel_warp,2998272,125000,4,4,0,1,8,1024,0,0,0,20
BFS_kernel_warp,3245984,1000000,4,4,1,0,1,1024,0,0,0,20
BFS_kernel_warp,3085824,500000,4,4,1,0,2,1024,0,0,0,20
BFS_kernel_warp,3020512,250000,4,4,1,0,4,1024,0,0,0,20
BFS_kernel_warp,2996224,125000,4,4,1,0,8,1024,0,0,0,20
BFS_kernel_warp,3234144,1000000,4,4,1,1,1,1024,0,0,0,20
BFS_kernel_warp,3082240,500000,4,4,1,1,2,1024,0,0,0,20
BFS_kernel_warp,3018816,250000,4,4,1,1,4,1024,0,0,0,20
BFS_kernel_warp,2996448,125000,4,4,1,1,8,1024,0,0,0,20
BFS_kernel_warp,2602720,1000000,5,5,0,0,1,1024,0,0,0,20
BFS_kernel_warp,2479840,500000,5,5,0,0,2,1024,0,0,0,20
BFS_kernel_warp,2427680,250000,5,5,0,0,4,1024,0,0,0,20
BFS_kernel_warp,2410464,125000,5,5,0,0,8,1024,0,0,0,20
BFS_kernel_warp,2599840,1000000,5,5,0,1,1,1024,0,0,0,20
BFS_kernel_warp,2480160,500000,5,5,0,1,2,1024,0,0,0,20
BFS_kernel_warp,2426880,250000,5,5,0,1,4,1024,0,0,0,20
BFS_kernel_warp,2410336,125000,5,5,0,1,8,1024,0,0,0,20
BFS_kernel_warp,2611200,1000000,5,5,1,0,1,1024,0,0,0,20
BFS_kernel_warp,2477664,500000,5,5,1,0,2,1024,0,0,0,20
BFS_kernel_warp,2426304,250000,5,5,1,0,4,1024,0,0,0,20
BFS_kernel_warp,2413664,125000,5,5,1,0,8,1024,0,0,0,20
BFS_kernel_warp,2602528,1000000,5,5,1,1,1,1024,0,0,0,20
