Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,BLOCK_SIZE,GRID_SIZE,PRECISION,UNROLL_LOOP_1,UNROLL_LOOP_2,SET_SHARED_MEMORY_SIZE,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2
scan,352841492,1,1,1,1,1,1,16,1,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,382979898,1,1,1,1,1,1,16,1,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,144168516,1,1,1,1,1,1,16,1,32,1,0,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,143891808,1,1,1,1,1,1,16,1,32,1,1,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,103125243,1,1,1,1,1,1,16,2,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,103123872,1,1,1,1,1,1,16,2,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,72124135,1,1,1,1,1,1,16,2,32,1,0,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,72101342,1,1,1,1,1,1,16,2,32,1,1,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,51736395,1,1,1,1,1,1,16,4,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,51733239,1,1,1,1,1,1,16,4,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,81994479,1,1,1,1,1,1,16,4,32,1,0,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,81979230,1,1,1,1,1,1,16,4,32,1,1,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,56789381,1,1,1,1,1,1,16,8,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,56778538,1,1,1,1,1,1,16,8,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,41140571,1,1,1,1,1,1,16,8,32,1,0,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,41155757,1,1,1,1,1,1,16,8,32,1,1,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,28527994,1,1,1,1,1,1,16,16,32,0,0,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,28518619,1,1,1,1,1,1,16,16,32,0,1,1,1024,256,0,0,41,1024,512,0,0,12,1024,516,0,0,19
scan,20696931,1,1,1,1,1,1,16,16,32,1,0,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
scan,20700371,1,1,1,1,1,1,16,16,32,1,1,1,1024,256,0,0,41,1024,512,0,0,10,1024,516,0,0,25
