Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,PRECISION,FORMAT,UNROLL_LOOP_1,UNROLL_LOOP_2,TEXTURE_MEMORY,THREADS_PER_ROW,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
spmv_kernel,1024832,16733,577,577,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,560512,16613,449,449,32,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,805856,16473,323,323,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,1005728,16443,203,203,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,308928,16680,417,417,32,0,0,0,0,1,1024,0,0,0,18
spmv_kernel,298976,524768,992,992,64,4,0,0,0,32,1024,7936,0,0,18
spmv_kernel,843936,16536,689,689,64,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,319008,524992,832,832,64,3,1,0,0,32,1024,6656,0,0,32
spmv_kernel,989504,16456,136,136,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,827872,16704,348,348,64,2,1,0,0,1,1024,0,0,0,28
spmv_kernel,565312,16890,563,563,32,1,1,0,0,1,1024,0,0,0,28
spmv_kernel,335904,524736,576,576,64,4,0,1,0,32,1024,4608,0,0,18
spmv_kernel,306816,524544,384,384,64,3,0,0,0,32,1024,3072,0,0,18
spmv_kernel,307616,524320,928,928,64,4,1,0,0,32,1024,7424,0,0,32
spmv_kernel,299104,524288,1024,1024,64,3,0,0,0,32,1024,8192,0,0,18
spmv_kernel,276416,524448,288,288,64,3,0,0,0,32,1024,2304,0,0,18
spmv_kernel,240480,524768,736,736,32,3,0,0,0,32,1024,2944,0,0,17
spmv_kernel,230464,524768,736,736,32,4,0,1,0,32,1024,2944,0,0,16
spmv_kernel,253152,524736,576,576,32,3,0,1,0,32,1024,2304,0,0,16
spmv_kernel,223840,524768,736,736,32,4,1,1,0,32,1024,2944,0,0,32
spmv_kernel,211360,524608,448,448,32,4,0,1,0,32,1024,1792,0,0,16
spmv_kernel,235168,524480,704,704,32,3,0,1,0,32,1024,2816,0,0,16
spmv_kernel,242656,524768,736,736,32,4,0,0,0,32,1024,2944,0,0,17
spmv_kernel,234528,524832,672,672,32,4,1,1,0,32,1024,2688,0,0,32
spmv_kernel,207200,524288,512,512,32,4,0,0,0,32,1024,2048,0,0,17
spmv_kernel,1052864,16384,512,512,32,2,0,0,0,1,1024,0,0,0,20
spmv_kernel,242880,524480,352,352,32,4,0,0,0,32,1024,1408,0,0,17
spmv_kernel,307904,524800,800,800,64,4,0,0,0,32,1024,6400,0,0,18
spmv_kernel,235808,524800,800,800,32,4,1,0,0,32,1024,3200,0,0,32
