Kernel name,Computation duration (ns),Global size,Local size,BLOCK_SIZE,WORK_PER_THREAD,LOOP_UNROLL_TRIAD,PRECISION,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
triad_helper,1478144,524288,1,1,1,0,32,1024,0,0,0,12
triad_helper,2860256,1048576,1,1,1,0,64,1024,0,0,0,12
triad_helper,1453600,524288,1,1,1,1,32,1024,0,0,0,12
triad_helper,2861504,1048576,1,1,1,1,64,1024,0,0,0,12
triad_helper,702528,262144,1,1,2,0,32,1024,0,0,0,16
triad_helper,1426272,524288,1,1,2,0,64,1024,0,0,0,15
triad_helper,736672,262144,1,1,2,1,32,1024,0,0,0,12
triad_helper,1444832,524288,1,1,2,1,64,1024,0,0,0,13
triad_helper,510624,174764,1,1,3,0,32,1024,0,0,0,14
triad_helper,1082400,349528,1,1,3,0,64,1024,0,0,0,14
triad_helper,480224,174764,1,1,3,1,32,1024,0,0,0,16
triad_helper,872704,349528,1,1,3,1,64,1024,0,0,0,18
triad_helper,419200,131072,1,1,4,0,32,1024,0,0,0,14
triad_helper,865664,262144,1,1,4,0,64,1024,0,0,0,14
triad_helper,363872,131072,1,1,4,1,32,1024,0,0,0,14
triad_helper,675072,262144,1,1,4,1,64,1024,0,0,0,18
triad_helper,367104,104860,1,1,5,0,32,1024,0,0,0,14
triad_helper,840960,209720,1,1,5,0,64,1024,0,0,0,14
triad_helper,296352,104860,1,1,5,1,32,1024,0,0,0,14
triad_helper,580768,209720,1,1,5,1,64,1024,0,0,0,18
triad_helper,328320,87384,1,1,6,0,32,1024,0,0,0,14
triad_helper,833792,174768,1,1,6,0,64,1024,0,0,0,14
triad_helper,261088,87384,1,1,6,1,32,1024,0,0,0,14
triad_helper,514688,174768,1,1,6,1,64,1024,0,0,0,18
triad_helper,306528,74900,1,1,7,0,32,1024,0,0,0,14
triad_helper,833792,149800,1,1,7,0,64,1024,0,0,0,14
triad_helper,242624,74900,1,1,7,1,32,1024,0,0,0,14
triad_helper,470592,149800,1,1,7,1,64,1024,0,0,0,18
triad_helper,287616,65536,1,1,8,0,32,1024,0,0,0,14
triad_helper,832256,131072,1,1,8,0,64,1024,0,0,0,14
triad_helper,216544,65536,1,1,8,1,32,1024,0,0,0,14
triad_helper,437888,131072,1,1,8,1,64,1024,0,0,0,18
triad_helper,272192,58256,1,1,9,0,32,1024,0,0,0,14
triad_helper,830656,116512,1,1,9,0,64,1024,0,0,0,14
triad_helper,206912,58256,1,1,9,1,32,1024,0,0,0,15
triad_helper,417184,116512,1,1,9,1,64,1024,0,0,0,19
triad_helper,257664,52432,1,1,10,0,32,1024,0,0,0,14
triad_helper,835072,104864,1,1,10,0,64,1024,0,0,0,14
triad_helper,194496,52432,1,1,10,1,32,1024,0,0,0,16
triad_helper,395360,104864,1,1,10,1,64,1024,0,0,0,16
triad_helper,730144,524288,2,2,1,0,32,1024,0,0,0,12
triad_helper,1448512,1048576,2,2,1,0,64,1024,0,0,0,12
triad_helper,729088,524288,2,2,1,1,32,1024,0,0,0,12
triad_helper,1438432,1048576,2,2,1,1,64,1024,0,0,0,12
triad_helper,358720,262144,2,2,2,0,32,1024,0,0,0,16
triad_helper,720160,524288,2,2,2,0,64,1024,0,0,0,15
triad_helper,373344,262144,2,2,2,1,32,1024,0,0,0,12
triad_helper,731424,524288,2,2,2,1,64,1024,0,0,0,13
triad_helper,261727,174768,2,2,3,0,32,1024,0,0,0,14
triad_helper,529408,349536,2,2,3,0,64,1024,0,0,0,14
triad_helper,247776,174768,2,2,3,1,32,1024,0,0,0,16
triad_helper,442656,349536,2,2,3,1,64,1024,0,0,0,18
triad_helper,216160,131072,2,2,4,0,32,1024,0,0,0,14
triad_helper,440512,262144,2,2,4,0,64,1024,0,0,0,14
triad_helper,187520,131072,2,2,4,1,32,1024,0,0,0,14
triad_helper,345504,262144,2,2,4,1,64,1024,0,0,0,18
triad_helper,190208,104864,2,2,5,0,32,1024,0,0,0,14
triad_helper,426368,209728,2,2,5,0,64,1024,0,0,0,14
triad_helper,156032,104864,2,2,5,1,32,1024,0,0,0,14
triad_helper,299392,209728,2,2,5,1,64,1024,0,0,0,18
triad_helper,173632,87384,2,2,6,0,32,1024,0,0,0,14
triad_helper,428160,174768,2,2,6,0,64,1024,0,0,0,14
triad_helper,136096,87384,2,2,6,1,32,1024,0,0,0,14
triad_helper,266240,174768,2,2,6,1,64,1024,0,0,0,18
triad_helper,158592,74904,2,2,7,0,32,1024,0,0,0,14
triad_helper,425664,149808,2,2,7,0,64,1024,0,0,0,14
triad_helper,124000,74904,2,2,7,1,32,1024,0,0,0,14
triad_helper,243456,149808,2,2,7,1,64,1024,0,0,0,18
triad_helper,151136,65536,2,2,8,0,32,1024,0,0,0,14
triad_helper,424672,131072,2,2,8,0,64,1024,0,0,0,14
triad_helper,116000,65536,2,2,8,1,32,1024,0,0,0,14
triad_helper,226720,131072,2,2,8,1,64,1024,0,0,0,18
triad_helper,144544,58256,2,2,9,0,32,1024,0,0,0,14
triad_helper,424544,116512,2,2,9,0,64,1024,0,0,0,14
triad_helper,110624,58256,2,2,9,1,32,1024,0,0,0,15
triad_helper,216416,116512,2,2,9,1,64,1024,0,0,0,19
triad_helper,137984,52432,2,2,10,0,32,1024,0,0,0,14
triad_helper,422880,104864,2,2,10,0,64,1024,0,0,0,14
triad_helper,102592,52432,2,2,10,1,32,1024,0,0,0,16
triad_helper,202016,104864,2,2,10,1,64,1024,0,0,0,16
triad_helper,491712,524292,3,3,1,0,32,1024,0,0,0,12
triad_helper,965888,1048584,3,3,1,0,64,1024,0,0,0,12
triad_helper,491840,524292,3,3,1,1,32,1024,0,0,0,12
triad_helper,962240,1048584,3,3,1,1,64,1024,0,0,0,12
triad_helper,244192,262152,3,3,2,0,32,1024,0,0,0,16
triad_helper,485920,524304,3,3,2,0,64,1024,0,0,0,15
triad_helper,254560,262152,3,3,2,1,32,1024,0,0,0,12
triad_helper,494496,524304,3,3,2,1,64,1024,0,0,0,13
triad_helper,179136,174768,3,3,3,0,32,1024,0,0,0,14
triad_helper,387168,349536,3,3,3,0,64,1024,0,0,0,14
triad_helper,169056,174768,3,3,3,1,32,1024,0,0,0,16
triad_helper,306560,349536,3,3,3,1,64,1024,0,0,0,18
triad_helper,149312,131076,3,3,4,0,32,1024,0,0,0,14
triad_helper,300480,262152,3,3,4,0,64,1024,0,0,0,14
triad_helper,131744,131076,3,3,4,1,32,1024,0,0,0,14
triad_helper,236896,262152,3,3,4,1,64,1024,0,0,0,18
triad_helper,133152,104868,3,3,5,0,32,1024,0,0,0,14
triad_helper,294720,209736,3,3,5,0,64,1024,0,0,0,14
triad_helper,109472,104868,3,3,5,1,32,1024,0,0,0,14
triad_helper,204160,209736,3,3,5,1,64,1024,0,0,0,18
triad_helper,120512,87384,3,3,6,0,32,1024,0,0,0,14
triad_helper,289120,174768,3,3,6,0,64,1024,0,0,0,14
triad_helper,96320,87384,3,3,6,1,32,1024,0,0,0,14
triad_helper,181952,174768,3,3,6,1,64,1024,0,0,0,18
triad_helper,109888,74904,3,3,7,0,32,1024,0,0,0,14
triad_helper,289696,149808,3,3,7,0,64,1024,0,0,0,14
triad_helper,86272,74904,3,3,7,1,32,1024,0,0,0,14
triad_helper,168448,149808,3,3,7,1,64,1024,0,0,0,18
triad_helper,105728,65544,3,3,8,0,32,1024,0,0,0,14
triad_helper,287936,131088,3,3,8,0,64,1024,0,0,0,14
triad_helper,82432,65544,3,3,8,1,32,1024,0,0,0,14
triad_helper,155968,131088,3,3,8,1,64,1024,0,0,0,18
triad_helper,88160,58260,3,3,9,0,32,1024,0,0,0,14
triad_helper,290624,116520,3,3,9,0,64,1024,0,0,0,14
triad_helper,77792,58260,3,3,9,1,32,1024,0,0,0,15
triad_helper,150336,116520,3,3,9,1,64,1024,0,0,0,19
triad_helper,81376,52440,3,3,10,0,32,1024,0,0,0,14
triad_helper,289504,104880,3,3,10,0,64,1024,0,0,0,14
triad_helper,73120,52440,3,3,10,1,32,1024,0,0,0,16
triad_helper,140672,104880,3,3,10,1,64,1024,0,0,0,16
triad_helper,372736,524288,4,4,1,0,32,1024,0,0,0,12
triad_helper,725760,1048576,4,4,1,0,64,1024,0,0,0,12
triad_helper,370144,524288,4,4,1,1,32,1024,0,0,0,12
triad_helper,725696,1048576,4,4,1,1,64,1024,0,0,0,12
triad_helper,185440,262144,4,4,2,0,32,1024,0,0,0,16
triad_helper,365888,524288,4,4,2,0,64,1024,0,0,0,15
triad_helper,193760,262144,4,4,2,1,32,1024,0,0,0,12
triad_helper,372928,524288,4,4,2,1,64,1024,0,0,0,13
triad_helper,136544,174768,4,4,3,0,32,1024,0,0,0,14
triad_helper,290752,349536,4,4,3,0,64,1024,0,0,0,14
triad_helper,130208,174768,4,4,3,1,32,1024,0,0,0,16
triad_helper,228320,349536,4,4,3,1,64,1024,0,0,0,18
triad_helper,114720,131072,4,4,4,0,32,1024,0,0,0,14
triad_helper,229248,262144,4,4,4,0,64,1024,0,0,0,14
triad_helper,103168,131072,4,4,4,1,32,1024,0,0,0,14
triad_helper,182560,262144,4,4,4,1,64,1024,0,0,0,18
triad_helper,103360,104864,4,4,5,0,32,1024,0,0,0,14
triad_helper,221440,209728,4,4,5,0,64,1024,0,0,0,14
triad_helper,83552,104864,4,4,5,1,32,1024,0,0,0,14
triad_helper,157536,209728,4,4,5,1,64,1024,0,0,0,18
triad_helper,95392,87392,4,4,6,0,32,1024,0,0,0,14
triad_helper,221600,174784,4,4,6,0,64,1024,0,0,0,14
